clustering_a2q,eigencentrality_a2q,pageranks_a2q,closnesscentrality_a2q,harmonicclosnesscentrality_a2q,betweenesscentrality_a2q,clustering_c2a,eigencentrality_c2a,pageranks_c2a,closnesscentrality_c2a,harmonicclosnesscentrality_c2a,betweenesscentrality_c2a,clustering_c2q,clustering_c2q,eigencentrality_c2q,pageranks_c2q,closnesscentrality_c2q,harmonicclosnesscentrality_c2q,betweenesscentrality_c2q
0.166667,0.023529,0.000179,0.368421,0.399479,757.271703,0.5,0.018516,0.000137,0,0,0,0.5,0.5,0.018516,0.000137,0,0,0
0.022806,0.011006,0.000162,0.378151,0.471012,478.45873,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.016667,0.18161,0.001063,0,0,0,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.108974,0.111102,0.000218,0.666667,0.75,97.939897,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0,0.002832,0.000155,0,0,0,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.138889,0.060147,0.000193,1,1,1.5,0.1,0.009258,0.000112,0.472973,0.571429,0,0.1,0.1,0.009258,0.000112,0.472973,0.571429,0
0.133333,0.108488,0.000296,1,1,18.086905,0.5,0.02596,0.000122,0,0,0,0.5,0.5,0.02596,0.000122,0,0,0
0.07619,0.056994,0.000341,0.833333,0.9,86.509524,0.083333,0.188492,0.000276,0,0,0,0.083333,0.083333,0.188492,0.000276,0,0,0
0.077922,0.132987,0.00028,0.427536,0.478814,467.849824,0.2,0.02596,0.000122,0.625,0.766667,5,0.2,0.2,0.02596,0.000122,0.625,0.766667,5
0.333333,0.017316,0.000159,0,0,0,0.166667,0.061178,0.000154,0.666667,0.75,6,0.166667,0.166667,0.061178,0.000154,0.666667,0.75,6
0.25,0.022928,0.000201,0,0,0,0.071429,0.07788,0.000167,0.666667,0.77381,65,0.071429,0.071429,0.07788,0.000167,0.666667,0.77381,65
0.151515,0.142861,0.000338,1,1,18.878968,0.166667,0.103168,0.000177,0,0,0,0.166667,0.166667,0.103168,0.000177,0,0,0
0.178571,0.080764,0.000261,0,0,0,0.5,0.02596,0.000122,0,0,0,0.5,0.5,0.02596,0.000122,0,0,0
0.083077,0.052051,0.000192,0.334884,0.41794,349.972886,0.125,0.061178,0.000143,0.666667,0.75,25.5,0.125,0.125,0.061178,0.000143,0.666667,0.75,25.5
0.5,0.002832,0.000152,1,1,0,0.083333,0.009258,0.000112,0.823529,0.892857,0,0.083333,0.083333,0.009258,0.000112,0.823529,0.892857,0
0.1,0.135987,0.000442,0,0,0,0.5,0.02596,0.00012,0,0,0,0.5,0.5,0.02596,0.00012,0,0,0
0.059524,0.002832,0.000152,0.340385,0.383597,0,0.5,0.02596,0.00012,0,0,0,0.5,0.5,0.02596,0.00012,0,0,0
0.166667,0.024835,0.000228,0,0,0,0.5,0.02596,0.00012,0,0,0,0.5,0.5,0.02596,0.00012,0,0,0
0.040784,0.006769,0.000156,0.355693,0.408251,104.707623,0.5,0.02596,0.00012,0,0,0,0.5,0.5,0.02596,0.00012,0,0,0
0.051829,0.012295,0.000158,0.320128,0.379893,161.120475,0.090909,0.118729,0.000168,1,1,23.5,0.090909,0.090909,0.118729,0.000168,1,1,23.5
0.042424,0.006769,0.000156,0.347773,0.403799,129.030948,0.2,0.053734,0.00015,0,0,0,0.2,0.2,0.053734,0.00015,0,0,0
0.021978,0.078447,0.000265,0,0,0,0.2,0.086466,0.000257,0,0,0,0.2,0.2,0.086466,0.000257,0,0,0
0.051418,0.017281,0.000162,0.353782,0.404467,499.605346,0.055556,0.420572,0.000586,0,0,0,0.055556,0.055556,0.420572,0.000586,0,0,0
0.25,0.010707,0.000165,1,1,2,0.25,0.087607,0.000227,0,0,0,0.25,0.25,0.087607,0.000227,0,0,0
0.121212,0.059511,0.000187,0.201044,0.243544,118.460555,0.5,0.02596,0.00012,0,0,0,0.5,0.5,0.02596,0.00012,0,0,0
0.054924,0.012025,0.000159,0.339785,0.393791,170.857283,0.2,0.138474,0.000188,0,0,0,0.2,0.2,0.138474,0.000188,0,0,0
0.145455,0.051373,0.000226,0.571429,0.652778,54.93254,0.142857,0.009258,0.000112,0.384615,0.486111,0,0.142857,0.142857,0.009258,0.000112,0.384615,0.486111,0
0.166667,0.042618,0.000182,0.470588,0.614583,26.644444,0.166667,0.05192,0.000173,0.45,0.537037,27,0.166667,0.166667,0.05192,0.000173,0.45,0.537037,27
0.048148,0.04262,0.000178,0.375462,0.430186,1453.879771,0.166667,0.02596,0.000126,0.833333,0.9,5,0.166667,0.166667,0.02596,0.000126,0.833333,0.9,5
0.118182,0.035963,0.000171,1,1,93.934596,0.142857,0.139527,0.00021,0,0,0,0.142857,0.142857,0.139527,0.00021,0,0,0
0.128788,0.038575,0.000195,1,1,26.235354,0.142857,0.15699,0.000243,0,0,0,0.142857,0.142857,0.15699,0.000243,0,0,0
0.125,0.042782,0.000179,1,1,4.884524,0.333333,0.060506,0.000129,0,0,0,0.333333,0.333333,0.060506,0.000129,0,0,0
0.25,0.015963,0.000163,1,1,3,0.166667,0.009258,0.000112,0.490909,0.567901,0,0.166667,0.166667,0.009258,0.000112,0.490909,0.567901,0
0.093567,0.036733,0.000176,0.266859,0.304465,550.760604,0.333333,0.042662,0.000135,0,0,0,0.333333,0.333333,0.042662,0.000135,0,0,0
0.090476,0.142198,0.000283,0.262136,0.335494,391.184722,0.109091,0.197903,0.000268,0.75,0.833333,125,0.109091,0.109091,0.197903,0.000268,0.75,0.833333,125
0.5,0.006769,0.000156,0,0,0,0.333333,0.02596,0.000126,1,1,1,0.333333,0.333333,0.02596,0.000126,1,1,1
0.063441,0.169242,0.000367,1,1,19.366667,0.083333,0.250888,0.000284,0,0,0,0.083333,0.083333,0.250888,0.000284,0,0,0
0.05698,0.021218,0.000172,0.262816,0.327594,363.762082,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.019048,0.008247,0.000166,0.23818,0.314229,245.590548,0.5,0.009258,0.000112,1,1,0,0.5,0.5,0.009258,0.000112,1,1,0
0.043672,0.294834,0.000853,1,1,120.677965,0,0.027774,0.000223,0,0,0,0,0,0.027774,0.000223,0,0,0
0.064286,0.112348,0.000267,0.75,0.833333,50.266667,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.055385,0.322391,0.000769,1,1,314.553205,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.116667,0.095748,0.000306,1,1,30.611111,0.07619,0.009258,0.000112,0.568627,0.704023,0,0.07619,0.07619,0.009258,0.000112,0.568627,0.704023,0
0,0.010002,0.000175,1,1,17,0.166667,0.068622,0.000178,0.5,0.611111,12,0.166667,0.166667,0.068622,0.000178,0.5,0.611111,12
0.25,0.017316,0.00016,0,0,0,0.5,0.02596,0.000118,0,0,0,0.5,0.5,0.02596,0.000118,0,0,0
0.113636,0.064022,0.000221,0.311005,0.368974,373.913982,0.022163,1,0.001212,0,0,0,0.022163,0.022163,1,0.001212,0,0,0
0.416667,0.059122,0.000167,0,0,0,0.25,0.059364,0.000148,0,0,0,0.25,0.25,0.059364,0.000148,0,0,0
0,0,0.000152,0.666667,0.75,0,0.333333,0.042662,0.000122,0,0,0,0.333333,0.333333,0.042662,0.000122,0,0,0
0.111111,0.051087,0.000417,1,1,15.55609,0.066176,0.326674,0.000302,1,1,20,0.066176,0.066176,0.326674,0.000302,1,1,20
0.125,0.002832,0.000152,0.345992,0.402439,0,0.2,0.061178,0.000139,0,0,0,0.2,0.2,0.061178,0.000139,0,0,0
0,0.005664,0.000175,0,0,0,0.071429,0.639541,0.001114,0,0,0,0.071429,0.071429,0.639541,0.001114,0,0,0
0.2,0.029037,0.000193,1,1,8,0.333333,0.02596,0.000118,1,1,1,0.333333,0.333333,0.02596,0.000118,1,1,1
0.081538,0.184302,0.000345,0.578947,0.666667,411.373452,0.25,0.063461,0.000128,1,1,4,0.25,0.25,0.063461,0.000128,1,1,4
0.2,0.024862,0.000195,1,1,5.533333,0.2,0.076066,0.000141,0,0,0,0.2,0.2,0.076066,0.000141,0,0,0
0.5,0.002832,0.000152,0.6,0.666667,0,0.25,0.009258,0.000112,0.390728,0.439266,0,0.25,0.25,0.009258,0.000112,0.390728,0.439266,0
0.1,0.064241,0.000312,1,1,40.3,0.111111,0.191916,0.000364,0,0,0,0.111111,0.111111,0.191916,0.000364,0,0,0
0.011111,0.006769,0.000157,0.785714,0.863636,16.916667,0.043333,0.02596,0.000132,0.571429,0.678571,50,0.043333,0.043333,0.02596,0.000132,0.571429,0.678571,50
0.214286,0.050177,0.000193,0,0,0,0.2,0.053062,0.000137,0.714286,0.8,10,0.2,0.2,0.053062,0.000137,0.714286,0.8,10
0.098485,0.091463,0.000276,0,0,0,0.5,0.02596,0.000132,0,0,0,0.5,0.5,0.02596,0.000132,0,0,0
0.085145,0.204057,0.000303,0,0,0,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.333333,0.008088,0.000155,1,1,1.333333,0.25,0.009258,0.000112,1,1,0,0.25,0.25,0.009258,0.000112,1,1,0
0.091912,0.171446,0.000463,0,0,0,0.333333,0.042662,0.000139,0,0,0,0.333333,0.333333,0.042662,0.000139,0,0,0
0.333333,0.008088,0.000155,1,1,0.642857,0.0625,0.315022,0.000566,0,0,0,0.0625,0.0625,0.315022,0.000566,0,0,0
0.070652,0.171395,0.000273,0.483871,0.577778,268.904942,0.166667,0.180452,0.000214,0,0,0,0.166667,0.166667,0.180452,0.000214,0,0,0
0.111111,0.031154,0.000176,0.38342,0.417793,55.328109,0,0,0.000112,0.625,0.766667,0,0,0,0,0.000112,0.625,0.766667,0
0.059524,0.018839,0.000166,0.339383,0.384925,490.771242,0.166667,0.068622,0.000161,0.666667,0.75,8,0.166667,0.166667,0.068622,0.000161,0.666667,0.75,8
0.080952,0.126097,0.000314,0.466667,0.630952,92.20873,0.5,0.018516,0.000145,0,0,0,0.5,0.5,0.018516,0.000145,0,0,0
0.090909,0.054697,0.000236,0,0,0,0.25,0.044476,0.000166,0,0,0,0.25,0.25,0.044476,0.000166,0,0,0
0.111111,0.120627,0.000473,0,0,0,0.333333,0.009258,0.000112,1,1,0,0.333333,0.333333,0.009258,0.000112,1,1,0
0,0.003937,0.000155,0,0,0,0.333333,0.042662,0.000152,0,0,0,0.333333,0.333333,0.042662,0.000152,0,0,0
0.089744,0.008088,0.000155,0.259117,0.294319,34.8,0.333333,0.053062,0.000156,0,0,0,0.333333,0.333333,0.053062,0.000156,0,0,0
0.266667,0.015963,0.000174,0.37931,0.487879,8.366667,0.5,0.009258,0.000112,1,1,0,0.5,0.5,0.009258,0.000112,1,1,0
0.333333,0.012025,0.000162,0,0,0,0.333333,0.035218,0.000181,0,0,0,0.333333,0.333333,0.035218,0.000181,0,0,0
0.108974,0.078559,0.000213,1,1,40.771825,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.05,0.00898,0.000159,0.401274,0.442328,36.896512,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.333333,0.02192,0.000161,0,0,0,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.04623,0.300202,0.00065,1,1,20.37619,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0,0.003937,0.000155,0.466667,0.52381,0.952381,0.333333,0.053062,0.00012,0,0,0,0.333333,0.333333,0.053062,0.00012,0,0,0
0.152778,0.091486,0.000212,0,0,0,0.2,0.168791,0.000187,0.75,0.833333,24,0.2,0.2,0.168791,0.000187,0.75,0.833333,24
0.072414,0.314379,0.000594,0.525,0.615079,773.353642,0.25,0.06232,0.00012,0,0,0,0.25,0.25,0.06232,0.00012,0,0,0
0.25,0.02323,0.000163,0,0,0,0.083333,0.06232,0.00023,0.846154,0.909091,38,0.083333,0.083333,0.06232,0.00023,0.846154,0.909091,38
0.045455,0.09899,0.000304,0,0,0,0.122222,0.281436,0.0003,0,0,0,0.122222,0.122222,0.281436,0.0003,0,0,0
0.069048,0.034313,0.000169,0.85,0.911765,143.477381,0.25,0.036359,0.000117,0.75,0.833333,6,0.25,0.25,0.036359,0.000117,0.75,0.833333,6
0.03781,0.022182,0.000161,0.401826,0.490956,419.914104,0.333333,0.036359,0.000117,1,1,2,0.333333,0.333333,0.036359,0.000117,1,1,2
0.062069,0.115828,0.000263,0.294067,0.353105,2441.492271,0.142857,0.122825,0.000212,0,0,0,0.142857,0.142857,0.122825,0.000212,0,0,0
0.021978,0.146415,0.000544,1,1,98.072835,0.083333,0.182783,0.00025,0.666667,0.75,33,0.083333,0.083333,0.182783,0.00025,0.666667,0.75,33
0.087912,0.041745,0.000215,0.5,0.575758,106.017857,0.125,0.164815,0.000144,0,0,0,0.125,0.125,0.164815,0.000144,0,0,0
0.081197,0.108192,0.000224,0.355114,0.426,725.606408,0.5,0.036359,0.000117,0,0,0,0.5,0.5,0.036359,0.000117,0,0,0
0.057169,0.1347,0.000302,0.348033,0.412063,3976.709473,0.111111,0.197827,0.000177,0,0,0,0.111111,0.111111,0.197827,0.000177,0,0,0
0.160714,0.038487,0.000189,1,1,1.833333,0.166667,0.080163,0.000153,0.75,0.833333,12,0.166667,0.166667,0.080163,0.000153,0.75,0.833333,12
0.090909,0.053428,0.000712,0,0,0,0.076923,0.430978,0.00051,0,0,0,0.076923,0.076923,0.430978,0.00051,0,0,0
0.062092,0.012025,0.000175,0.493333,0.637387,53.694048,0,0.016702,0.000117,0,0,0,0,0,0.016702,0.000117,0,0,0
0.05,0.029846,0.000183,0,0,0,0.111111,0.153274,0.000163,0,0,0,0.111111,0.111111,0.153274,0.000163,0,0,0
0.142857,0.038534,0.000173,1,1,12,0.25,0.036359,0.000117,1,1,4,0.25,0.25,0.036359,0.000117,1,1,4
0.045519,0.549839,0.001338,0,0,0,0.5,0.036359,0.000117,0,0,0,0.5,0.5,0.036359,0.000117,0,0,0
0.080952,0.188959,0.000357,0,0,0,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0,0,0.000152,1,1,0,0.166667,0.009258,0.000112,0.857143,0.916667,0,0.166667,0.166667,0.009258,0.000112,0.857143,0.916667,0
0,0.005852,0.000198,0,0,0,0.25,0.05192,0.000138,0,0,0,0.25,0.25,0.05192,0.000138,0,0,0
0.2,0.023499,0.000197,0,0,0,0.142857,0.144777,0.00023,1,1,12,0.142857,0.142857,0.144777,0.00023,1,1,12
0.333333,0.011192,0.000223,0,0,0,0.142857,0.087138,0.000171,0,0,0,0.142857,0.142857,0.087138,0.000171,0,0,0
0.166667,0.027773,0.000264,0,0,0,0.5,0.02596,0.000128,0,0,0,0.5,0.5,0.02596,0.000128,0,0,0
0.090909,0.002832,0.000152,0.340557,0.409848,0,0,0.009258,0.000128,0,0,0,0,0,0.009258,0.000128,0,0,0
0.06129,0.175321,0.000446,0.387097,0.463056,1281.680195,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.098485,0.023049,0.000216,0.769231,0.85,50.741667,0,0,0.000112,1,1,0,0,0,0,0.000112,1,1,0
0,0.002832,0.000165,1,1,1,0.5,0.018516,0.000211,0,0,0,0.5,0.5,0.018516,0.000211,0,0,0
0.5,0.006769,0.000165,0,0,0,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0,0.009601,0.000181,0,0,0,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.5,0.006769,0.000165,0,0,0,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.067251,0.102413,0.000299,0.727273,0.8125,184.758929,0,0,0.000112,1,1,0,0,0,0,0.000112,1,1,0
0.090476,0.024335,0.000189,0.434783,0.547917,135.474578,0.166667,0.092768,0.000388,0,0,0,0.166667,0.166667,0.092768,0.000388,0,0,0
0,0.015059,0.000187,0,0,0,0.5,0.009258,0.000112,1,1,0,0.5,0.5,0.009258,0.000112,1,1,0
0,0.002832,0.000152,0,0,0,0.25,0.059364,0.000184,0,0,0,0.25,0.25,0.059364,0.000184,0,0,0
0,0.05185,0.000534,0,0,0,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.1,0.092987,0.000332,0,0,0,0.25,0.066047,0.000175,0,0,0,0.25,0.25,0.066047,0.000175,0,0,0
0.208333,0.03505,0.00018,0.410714,0.5,53.494444,0.166667,0.109851,0.000246,0,0,0,0.166667,0.166667,0.109851,0.000246,0,0,0
0.113636,0.093036,0.000278,0.611111,0.681818,167.8458,0.333333,0.009258,0.000112,1,1,0,0.333333,0.333333,0.009258,0.000112,1,1,0
0.089744,0.117469,0.000315,0,0,0,0.5,0.02596,0.000145,0,0,0,0.5,0.5,0.02596,0.000145,0,0,0
0.053476,0.458797,0.001145,0,0,0,0.166667,0.138855,0.000248,0,0,0,0.166667,0.166667,0.138855,0.000248,0,0,0
0.25,0.030981,0.000195,0,0,0,0.142857,0.009258,0.000112,0.6,0.722222,0,0.142857,0.142857,0.009258,0.000112,0.6,0.722222,0
0.155556,0.008088,0.000155,0.326422,0.354766,58.761379,0.2,0.068622,0.000164,0,0,0,0.2,0.2,0.068622,0.000164,0,0,0
0.077652,0.332439,0.000615,0.375,0.431944,370.953697,0.25,0.035218,0.00013,1,1,2,0.25,0.25,0.035218,0.00013,1,1,2
0.063406,0.24188,0.00054,1,1,57.059596,0.25,0.087607,0.000137,0,0,0,0.25,0.25,0.087607,0.000137,0,0,0
0.25,0.016926,0.000158,1,1,7.5,0.071429,0.009258,0.000112,0.6,0.7,0,0.071429,0.071429,0.009258,0.000112,0.6,0.7,0
0.111111,0.041193,0.000211,0,0,0,0.333333,0.042662,0.000122,0,0,0,0.333333,0.333333,0.042662,0.000122,0,0,0
0.155556,0.051078,0.000231,1,1,18,0.333333,0.06795,0.000165,0,0,0,0.333333,0.333333,0.06795,0.000165,0,0,0
0.114286,0.054628,0.00018,0.344262,0.391383,233.235692,0.5,0.02596,0.000119,0,0,0,0.5,0.5,0.02596,0.000119,0,0,0
0.142857,0.012025,0.00016,1,1,4.8,0.5,0.02596,0.000119,0,0,0,0.5,0.5,0.02596,0.000119,0,0,0
0.083333,0.026882,0.000181,0.354244,0.423438,239.958135,0.25,0.042662,0.000168,1,1,2,0.25,0.25,0.042662,0.000168,1,1,2
0.073684,0.075091,0.000256,0.761905,0.84375,311.800501,0.060606,0.1882,0.00025,0.809524,0.882353,228.5,0.060606,0.060606,0.1882,0.00025,0.809524,0.882353,228.5
0.127273,0.008088,0.000155,0.28533,0.310991,95.495091,0.036559,0.692552,0.000899,0,0,0,0.036559,0.036559,0.692552,0.000899,0,0,0
0.032051,0.15054,0.000646,0,0,0,0.25,0.05192,0.000132,0,0,0,0.25,0.25,0.05192,0.000132,0,0,0
0.106061,0.064558,0.0002,0.440678,0.522436,117.136908,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.2,0.018855,0.000173,1,1,4.277778,0.111111,0.009258,0.000112,0.526316,0.65,0,0.111111,0.111111,0.009258,0.000112,0.526316,0.65,0
0.039683,0.02851,0.000217,0.471545,0.574713,347.806368,0.5,0.02596,0.000123,0,0,0,0.5,0.5,0.02596,0.000123,0,0,0
0.125,0.038901,0.000217,0,0,0,0.125,0.069764,0.00015,0.647059,0.727273,33,0.125,0.125,0.069764,0.00015,0.647059,0.727273,33
0.105263,0.128419,0.00024,0.463415,0.54386,155.644084,0.5,0.02596,0.000123,0,0,0,0.5,0.5,0.02596,0.000123,0,0,0
0.2,0.053514,0.000179,0,0,0,0.25,0.059364,0.000133,1,1,2,0.25,0.25,0.059364,0.000133,1,1,2
0.5,0.008088,0.000155,0,0,0,0.25,0.069764,0.000164,0,0,0,0.25,0.25,0.069764,0.000164,0,0,0
