Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering,componentnumber,strongcompnum,eigencentrality,modularity_class,pageranks
428190,428190,,5,1,6,20,15,35,0,0,0,0,0.010408,0,0.2,0,155,0.081977,74,0.000142
34824,34824,,3,4,7,4,5,9,1,1,1,6,0.005524,0.001063,0.166667,0,154,0.042662,133,0.000126
5056,5056,,6,2,8,55,50,105,2,0.666667,0.75,12,0.011973,0.009798,0.190476,0,85,0.131411,74,0.000221
5441,5441,,4,4,8,33,32,65,1,1,1,10,0.011702,0.028678,0.190476,0,150,0.069764,12,0.000133
11989,11989,,5,1,6,15,10,25,0,0,0,0,0.082133,0,0.2,0,148,0.122153,105,0.000169
90826,90826,,2,1,3,5,3,8,0,0,0,0,0.003492,0,0.5,0,147,0.02596,74,0.000118
1228,1228,,3,36,39,15,52,67,4,0.530612,0.673077,144,0.004392,0.08229,0.030583,0,146,0.035218,74,0.00013
30176,30176,,9,2,11,27,19,46,1,1,1,7,0.022176,0.004415,0.122222,0,81,0.184472,125,0.00022
51816,51816,,15,1,16,173,136,309,0,0,0,0,0.148834,0,0.071429,0,79,0.258636,173,0.000316
12243,12243,,5,2,7,77,71,148,1,1,1,4,0.037414,0,0.166667,0,78,0.068622,105,0.00013
75893,75893,,4,1,5,4,1,5,0,0,0,0,0.006929,0,0.25,0,76,0.098006,105,0.000147
39709,39709,,10,2,12,31,20,51,1,1,1,15,0.044041,0.000372,0.1,0,75,0.229417,112,0.000195
139300,139300,,1,2,3,5,6,11,1,1,1,0,0,0.001235,0.5,0,164,0.009258,59,0.000112
39693,39693,,10,1,11,26,15,41,0,0,0,0,0.013421,0,0.1,0,163,0.244488,59,0.00036
8233,8233,,0,4,4,0,5,5,2,0.75,0.833333,0,0,0.000587,0,0,171,0,105,0.000112
11827,11827,,3,1,4,6,4,10,0,0,0,0,0.000398,0,0.333333,0,170,0.035218,105,0.000153
26630,26630,,2,1,3,6,5,11,0,0,0,0,0.000054,0,0.5,0,169,0.018516,105,0.000137
26227,26227,,4,3,7,17,14,31,1,1,1,6,0.005869,0.003454,0.166667,0,168,0.044476,105,0.000151
50111,50111,,2,1,3,3,2,5,0,0,0,0,0.000054,0,0.5,0,165,0.018516,105,0.000137
24628,24628,,1,1,2,5,5,10,0,0,0,0,0,0,0,4,172,0.009258,4,0.000112
98361,98361,,1,1,2,2,2,4,0,0,0,0,0,0,0,5,173,0.009258,5,0.000112
81979,81979,,1,1,2,2,2,4,0,0,0,0,0,0,0,6,174,0.009258,6,0.000112
73794,73794,,1,1,2,4,4,8,0,0,0,0,0,0,0,7,175,0.009258,7,0.000112
71,71,,1,10,11,7,18,25,4,0.472973,0.571429,0,0,0.019289,0.1,0,197,0.009258,74,0.000112
100477,100477,,2,1,3,3,2,5,0,0,0,0,0.001775,0,0.5,0,196,0.02596,74,0.000122
117700,117700,,12,1,13,56,33,89,0,0,0,0,0.03344,0,0.083333,0,195,0.188492,118,0.000276
4068,4068,,2,4,6,4,7,11,3,0.625,0.766667,5,0.001775,0.003457,0.2,0,194,0.02596,74,0.000122
9382,9382,,5,2,7,27,24,51,2,0.666667,0.75,6,0.016186,0.004627,0.166667,0,191,0.061178,59,0.000154
1965,1965,,6,9,15,32,32,64,3,0.666667,0.77381,65,0.02473,0.018817,0.071429,0,190,0.07788,105,0.000167
10420,10420,,6,1,7,12,7,19,0,0,0,0,0.012772,0,0.166667,0,132,0.103168,51,0.000177
134502,134502,,2,1,3,2,1,3,0,0,0,0,0.001775,0,0.5,0,182,0.02596,74,0.000122
1343,1343,,5,5,10,90,89,179,2,0.666667,0.75,25.5,0.029274,0.005735,0.125,0,181,0.061178,74,0.000143
57428,57428,,1,12,13,16,58,74,2,0.823529,0.892857,0,0,0.012322,0.083333,0,210,0.009258,8,0.000112
127269,127269,,2,1,3,7,4,11,0,0,0,0,0.001134,0,0.5,0,209,0.02596,8,0.00012
82475,82475,,2,1,3,8,6,14,0,0,0,0,0.001134,0,0.5,0,208,0.02596,8,0.00012
125123,125123,,2,1,3,4,3,7,0,0,0,0,0.001134,0,0.5,0,207,0.02596,8,0.00012
117061,117061,,2,1,3,4,3,7,0,0,0,0,0.001134,0,0.5,0,206,0.02596,8,0.00012
66519,66519,,8,4,12,63,59,122,1,1,1,23.5,0.045442,0.005236,0.090909,0,205,0.118729,51,0.000168
80222,80222,,5,1,6,24,15,39,0,0,0,0,0.012657,0,0.2,0,202,0.053734,8,0.00015
73315,73315,,5,1,6,14,7,21,0,0,0,0,0.001355,0,0.2,0,201,0.086466,8,0.000257
81394,81394,,19,1,20,62,17,79,0,0,0,0,0.050112,0,0.055556,0,17,0.420572,8,0.000586
111731,111731,,4,1,5,14,11,25,0,0,0,0,0.001179,0,0.25,0,200,0.087607,8,0.000227
75832,75832,,2,1,3,4,3,7,0,0,0,0,0.001134,0,0.5,0,199,0.02596,8,0.00012
78847,78847,,5,1,6,6,2,8,0,0,0,0,0.017458,0,0.2,0,198,0.138474,1,0.000188
91,91,,1,7,8,22,28,50,4,0.384615,0.486111,0,0,0.005895,0.142857,0,224,0.009258,121,0.000112
11333,11333,,4,3,7,80,78,158,3,0.45,0.537037,27,0.00265,0.007677,0.166667,0,223,0.05192,121,0.000173
404,404,,2,5,7,5,8,13,2,0.833333,0.9,5,0.000543,0.011063,0.166667,0,215,0.02596,121,0.000126
32173,32173,,8,1,9,14,7,21,0,0,0,0,0.019919,0,0.142857,0,212,0.139527,118,0.00021
95663,95663,,7,1,8,12,6,18,0,0,0,0,0.016979,0,0.142857,0,211,0.15699,125,0.000243
26180,26180,,3,1,4,12,10,22,0,0,0,0,0.008116,0,0.333333,0,141,0.060506,121,0.000129
96,96,,1,7,8,1,8,9,3,0.490909,0.567901,0,0,0.015023,0.166667,0,228,0.009258,112,0.000112
4491,4491,,3,1,4,11,9,20,0,0,0,0,0.00169,0,0.333333,0,227,0.042662,105,0.000135
14606,14606,,5,7,12,26,28,54,2,0.75,0.833333,125,0.010316,0.019122,0.109091,0,48,0.197903,59,0.000268
536,536,,2,2,4,18,18,36,1,1,1,1,0.001383,0.006225,0.333333,0,226,0.02596,82,0.000126
30394,30394,,12,1,13,33,16,49,0,0,0,0,0.037266,0,0.083333,0,213,0.250888,112,0.000284
16485,16485,,1,1,2,3,3,6,0,0,0,0,0,0,0,8,229,0.009258,9,0.000112
114798,114798,,1,2,3,3,4,7,1,1,1,0,0,0.000431,0.5,0,231,0.009258,59,0.000112
122337,122337,,3,0,3,3,0,3,0,0,0,0,0.004678,0,0,0,230,0.027774,59,0.000223
114801,114801,,1,1,2,3,3,6,0,0,0,0,0,0,0,9,232,0.009258,10,0.000112
2170994,2170994,,1,1,2,8,8,16,0,0,0,0,0,0,0,10,233,0.009258,11,0.000112
115,115,,1,15,16,35,52,87,4,0.568627,0.704023,0,0,0.063253,0.07619,0,248,0.009258,12,0.000112
4234,4234,,5,2,7,32,30,62,3,0.5,0.611111,12,0.017197,0.000909,0.166667,0,247,0.068622,208,0.000178
82135,82135,,2,1,3,4,3,7,0,0,0,0,0.005822,0,0.5,0,243,0.02596,12,0.000118
54964,54964,,48,1,49,348,268,616,0,0,0,0,0.268092,0,0.022163,0,89,1,59,0.001212
44354,44354,,4,1,5,8,4,12,0,0,0,0,0.007066,0,0.25,0,242,0.059364,125,0.000148
2128,2128,,3,1,4,8,6,14,0,0,0,0,0.008421,0,0.333333,0,241,0.042662,12,0.000122
22076,22076,,16,2,18,82,48,130,1,1,1,20,0.140522,0,0.066176,0,240,0.326674,12,0.000302
2648,2648,,5,1,6,19,15,34,0,0,0,0,0.033455,0,0.2,0,238,0.061178,208,0.000139
89818,89818,,15,1,16,53,35,88,0,0,0,0,0.026533,0,0.071429,0,22,0.639541,12,0.001114
337,337,,2,2,4,10,10,20,1,1,1,1,0.005822,0.000313,0.333333,0,237,0.02596,105,0.000118
14569,14569,,3,2,5,7,5,12,1,1,1,4,0.008969,0.000093,0.25,0,235,0.063461,12,0.000128
32043,32043,,5,1,6,9,3,12,0,0,0,0,0.087096,0,0.2,0,234,0.076066,19,0.000141
16511,16511,,1,5,6,9,13,22,4,0.390728,0.439266,0,0,0.002813,0.25,0,280,0.009258,19,0.000112
51649,51649,,9,1,10,63,51,114,0,0,0,0,0.019282,0,0.111111,0,158,0.191916,118,0.000364
16587,16587,,2,24,26,13,53,66,3,0.571429,0.678571,50,0.000259,0.114145,0.043333,0,279,0.02596,19,0.000132
26004,26004,,3,4,7,26,25,51,2,0.714286,0.8,10,0.010765,0.002994,0.2,0,252,0.053062,19,0.000137
115608,115608,,2,1,3,8,7,15,0,0,0,0,0.000259,0,0.5,0,249,0.02596,19,0.000132
123012,123012,,1,1,2,4,4,8,0,0,0,0,0,0,0,11,281,0.009258,13,0.000112
139396,139396,,1,4,5,1,4,5,1,1,1,0,0,0.008948,0.25,0,283,0.009258,121,0.000112
77538,77538,,3,1,4,5,3,8,0,0,0,0,0.01134,0,0.333333,0,282,0.042662,121,0.000139
48465,48465,,17,1,18,88,69,157,0,0,0,0,0.067639,0,0.0625,0,225,0.315022,82,0.000566
64873,64873,,6,1,7,19,14,33,0,0,0,0,0.018245,0,0.166667,0,214,0.180452,121,0.000214
16529,16529,,0,3,3,0,3,3,3,0.625,0.766667,0,0,0.001148,0,0,289,0,105,0.000112
191083,191083,,5,2,7,15,12,27,2,0.666667,0.75,8,0.010969,0.000759,0.166667,0,288,0.068622,105,0.000161
33886,33886,,2,1,3,3,2,5,0,0,0,0,0.000106,0,0.5,0,285,0.018516,105,0.000145
56509,56509,,4,1,5,6,3,9,0,0,0,0,0.001395,0,0.25,0,284,0.044476,105,0.000166
16534,16534,,1,3,4,12,14,26,1,1,1,0,0,0.000624,0.333333,0,292,0.009258,133,0.000112
17510,17510,,3,1,4,5,3,8,0,0,0,0,0.001644,0,0.333333,0,291,0.042662,133,0.000152
54736,54736,,3,1,4,3,1,4,0,0,0,0,0.005141,0,0.333333,0,290,0.053062,133,0.000156
106658,106658,,1,2,3,3,4,7,1,1,1,0,0,0,0.5,12,294,0.009258,14,0.000112
118234,118234,,3,1,4,7,5,12,0,0,0,0,0,0,0.333333,12,293,0.035218,14,0.000181
82082,82082,,1,1,2,1,1,2,0,0,0,0,0,0,0,13,295,0.009258,15,0.000112
123048,123048,,1,1,2,2,2,4,0,0,0,0,0,0,0,14,296,0.009258,16,0.000112
106672,106672,,1,1,2,1,1,2,0,0,0,0,0,0,0,15,297,0.009258,17,0.000112
114865,114865,,1,1,2,13,13,26,0,0,0,0,0,0,0,16,298,0.009258,18,0.000112
44815,44815,,3,1,4,6,4,10,0,0,0,0,0.017707,0,0.333333,0,278,0.053062,82,0.00012
22039,22039,,4,3,7,5,4,9,2,0.75,0.833333,24,0.014905,0.013863,0.2,0,112,0.168791,130,0.000187
21380,21380,,4,1,5,5,2,7,0,0,0,0,0.107482,0,0.25,0,277,0.06232,105,0.00012
20774,20774,,4,10,14,54,61,115,2,0.846154,0.909091,38,0.01171,0.038855,0.083333,0,276,0.06232,19,0.00023
48705,48705,,10,1,11,22,9,31,0,0,0,0,0.047968,0,0.122222,0,80,0.281436,125,0.0003
21838,21838,,2,3,5,19,19,38,2,0.75,0.833333,6,0.010506,0.001568,0.25,0,270,0.036359,19,0.000117
17744,17744,,2,2,4,26,22,48,1,1,1,2,0.010506,0.002693,0.333333,0,268,0.036359,19,0.000117
65403,65403,,7,1,8,14,6,20,0,0,0,0,0.01715,0,0.142857,0,266,0.122825,59,0.000212
30576,30576,,11,2,13,43,32,75,2,0.666667,0.75,33,0.051031,0.000856,0.083333,0,265,0.182783,59,0.00025
38515,38515,,8,1,9,12,3,15,0,0,0,0,0.066392,0,0.125,0,264,0.164815,129,0.000144
16757,16757,,2,1,3,5,4,9,0,0,0,0,0.010506,0,0.5,0,263,0.036359,19,0.000117
61639,61639,,9,1,10,16,8,24,0,0,0,0,0.063658,0,0.111111,0,262,0.197827,19,0.000177
19314,19314,,4,3,7,4,3,7,2,0.75,0.833333,12,0.087973,0.003461,0.166667,0,261,0.080163,19,0.000153
40120,40120,,14,1,15,36,8,44,0,0,0,0,0.047844,0,0.076923,0,24,0.430978,118,0.00051
18548,18548,,1,0,1,1,0,1,0,0,0,0,0.010506,0,0,0,258,0.016702,19,0.000117
52420,52420,,9,1,10,24,16,40,0,0,0,0,0.115553,0,0.111111,0,257,0.153274,173,0.000163
114916,114916,,2,3,5,38,40,78,1,1,1,4,0.010506,0.001541,0.25,0,256,0.036359,133,0.000117
35061,35061,,2,1,3,4,3,7,0,0,0,0,0.010506,0,0.5,0,253,0.036359,19,0.000117
1384652,1384652,,1,1,2,29,29,58,0,0,0,0,0,0,0,17,299,0.009258,20,0.000112
209,209,,1,6,7,13,22,35,2,0.857143,0.916667,0,0,0.005162,0.166667,0,306,0.009258,125,0.000112
5777,5777,,4,1,5,10,6,16,0,0,0,0,0.025223,0,0.25,0,305,0.05192,19,0.000138
23528,23528,,6,2,8,22,16,38,1,1,1,12,0.009896,0,0.142857,0,304,0.144777,125,0.00023
68183,68183,,7,1,8,20,12,32,0,0,0,0,0.020018,0,0.142857,0,302,0.087138,125,0.000171
4591,4591,,2,1,3,3,2,5,0,0,0,0,0.000475,0,0.5,0,301,0.02596,125,0.000128
33917,33917,,1,0,1,1,0,1,0,0,0,0,0.000475,0,0,0,300,0.009258,125,0.000128
32978,32978,,1,1,2,1,1,2,0,0,0,0,0,0,0,18,307,0.009258,21,0.000112
90322,90322,,0,1,1,0,1,1,1,1,1,0,0,0,0,19,309,0,22,0.000112
118228,118228,,2,1,3,7,6,13,0,0,0,0,0,0,0.5,19,308,0.018516,22,0.000211
98516,98516,,1,1,2,3,3,6,0,0,0,0,0,0,0,20,310,0.009258,23,0.000112
123098,123098,,1,1,2,18,18,36,0,0,0,0,0,0,0,21,311,0.009258,24,0.000112
106717,106717,,1,1,2,1,1,2,0,0,0,0,0,0,0,22,312,0.009258,25,0.000112
223,223,,0,1,1,0,1,1,1,1,1,0,0,0.000401,0,0,314,0,130,0.000112
8047,8047,,6,1,7,45,40,85,0,0,0,0,0.004356,0,0.166667,0,313,0.092768,130,0.000388
49376,49376,,1,2,3,8,9,17,1,1,1,0,0,0.000485,0.5,0,316,0.009258,129,0.000112
111479,111479,,4,1,5,6,2,8,0,0,0,0,0.005271,0,0.25,0,315,0.059364,129,0.000184
73955,73955,,1,1,2,2,2,4,0,0,0,0,0,0,0,23,317,0.009258,26,0.000112
125601,125601,,4,1,5,4,1,5,0,0,0,0,0.004196,0,0.25,0,255,0.066047,133,0.000175
118364,118364,,6,1,7,13,4,17,0,0,0,0,0.012547,0,0.166667,0,254,0.109851,133,0.000246
123111,123111,,1,3,4,1,5,6,1,1,1,0,0,0.000921,0.333333,0,320,0.009258,129,0.000112
124161,124161,,2,1,3,4,3,7,0,0,0,0,0.000085,0,0.5,0,319,0.02596,129,0.000145
126691,126691,,6,1,7,18,9,27,0,0,0,0,0.009917,0,0.166667,0,318,0.138855,129,0.000248
234,234,,1,7,8,5,11,16,3,0.6,0.722222,0,0,0.016567,0.142857,0,323,0.009258,59,0.000112
11522,11522,,5,1,6,14,10,24,0,0,0,0,0.08113,0,0.2,0,322,0.068622,59,0.000164
4504,4504,,3,2,5,12,9,21,1,1,1,2,0.010826,0.002536,0.25,0,321,0.035218,82,0.00013
7839,7839,,4,1,5,13,9,22,0,0,0,0,0.010934,0,0.25,0,59,0.087607,74,0.000137
16623,16623,,1,14,15,2,20,22,3,0.6,0.7,0,0,0.055038,0.071429,0,330,0.009258,118,0.000112
39301,39301,,3,1,4,8,3,11,0,0,0,0,0.015516,0,0.333333,0,329,0.042662,118,0.000122
95247,95247,,3,1,4,5,3,8,0,0,0,0,0.005384,0,0.333333,0,167,0.06795,105,0.000165
117399,117399,,2,1,3,8,7,15,0,0,0,0,0.005066,0,0.5,0,328,0.02596,118,0.000119
49560,49560,,2,1,3,8,7,15,0,0,0,0,0.005066,0,0.5,0,327,0.02596,118,0.000119
23339,23339,,3,2,5,9,8,17,1,1,1,2,0.005109,0.00097,0.25,0,326,0.042662,118,0.000168
20654,20654,,9,14,23,43,46,89,2,0.809524,0.882353,228.5,0.093266,0.046423,0.060606,0,114,0.1882,208,0.00025
104015,104015,,31,1,32,101,61,162,0,0,0,0,0.210815,0,0.036559,0,100,0.692552,119,0.000899
71674,71674,,4,1,5,10,7,17,0,0,0,0,0.009324,0,0.25,0,324,0.05192,118,0.000132
98544,98544,,1,1,2,1,1,2,0,0,0,0,0,0,0,24,331,0.009258,27,0.000112
8435,8435,,1,9,10,4,12,16,3,0.526316,0.65,0,0,0.020609,0.111111,0,345,0.009258,70,0.000112
60163,60163,,2,1,3,5,4,9,0,0,0,0,0.001897,0,0.5,0,344,0.02596,70,0.000123
11208,11208,,4,6,10,20,22,42,2,0.647059,0.727273,33,0.0061,0.010478,0.125,0,343,0.069764,198,0.00015
41662,41662,,2,1,3,7,6,13,0,0,0,0,0.001897,0,0.5,0,336,0.02596,70,0.000123
20128,20128,,4,2,6,11,9,20,1,1,1,2,0.082559,0.009536,0.25,0,335,0.059364,173,0.000133
53794,53794,,4,1,5,8,5,13,0,0,0,0,0.003765,0,0.25,0,58,0.069764,70,0.000164
33080,33080,,2,1,3,11,10,21,0,0,0,0,0.001897,0,0.5,0,333,0.02596,70,0.000123
23935,23935,,7,1,8,25,19,44,0,0,0,0,0.010249,0,0.142857,0,332,0.148113,70,0.0003
82165,82165,,1,1,2,2,2,4,0,0,0,0,0,0,0,25,346,0.009258,28,0.000112
8446,8446,,1,5,6,4,9,13,2,0.75,0.833333,0,0,0.015269,0.2,0,349,0.009258,74,0.000112
11236,11236,,5,2,7,49,46,95,1,1,1,6,0.010983,0.008085,0.2,0,180,0.111753,74,0.000167
11757,11757,,5,1,6,7,2,9,0,0,0,0,0.012982,0,0.2,0,348,0.053734,74,0.000153
42782,42782,,2,1,3,8,6,14,0,0,0,0,0.001405,0,0.5,0,347,0.02596,74,0.000132
73987,73987,,1,1,2,8,8,16,0,0,0,0,0,0,0,26,350,0.009258,29,0.000112
16645,16645,,1,1,2,2,2,4,0,0,0,0,0,0,0,27,351,0.009258,30,0.000112
8457,8457,,0,10,10,0,12,12,3,0.528302,0.636905,0,0,0.034942,0,0,361,0,59,0.000112
60096,60096,,3,3,6,15,18,33,1,1,1,8,0.003492,0.001373,0.2,0,251,0.059745,208,0.000153
20745,20745,,2,1,3,2,1,3,0,0,0,0,0.003216,0,0.5,0,360,0.018516,59,0.000122
67757,67757,,2,1,3,5,3,8,0,0,0,0,0.003216,0,0.5,0,359,0.018516,59,0.000122
62699,62699,,5,3,8,26,26,52,2,0.6,0.666667,45,0.082704,0.002443,0.142857,0,220,0.104309,121,0.000187
57757,57757,,2,6,8,27,34,61,2,0.727273,0.8125,8,0.003216,0.013761,0.142857,0,358,0.018516,51,0.000122
90801,90801,,2,1,3,13,12,25,0,0,0,0,0.003216,0,0.5,0,353,0.018516,59,0.000122
107341,107341,,2,1,3,5,4,9,0,0,0,0,0.003216,0,0.5,0,352,0.018516,59,0.000122
84478,84478,,4,1,5,30,27,57,0,0,0,0,0.003401,0,0.25,0,236,0.054876,105,0.000189
82187,82187,,1,5,6,2,7,9,1,1,1,0,0,0.005552,0.2,0,365,0.009258,133,0.000112
88876,88876,,3,1,4,6,3,9,0,0,0,0,0.003172,0,0.333333,0,364,0.035218,133,0.000143
86191,86191,,6,1,7,24,16,40,0,0,0,0,0.023203,0,0.166667,0,363,0.085324,133,0.000171
99256,99256,,2,1,3,2,1,3,0,0,0,0,0.000511,0,0.5,0,362,0.02596,133,0.000132
268,268,,1,3,4,2,4,6,4,0.392405,0.438172,0,0,0.00146,0.333333,0,377,0.009258,112,0.000112
80040,80040,,7,1,8,18,12,30,0,0,0,0,0.009783,0,0.142857,0,376,0.197938,112,0.000283
9021,9021,,3,14,17,38,53,91,3,0.604167,0.706897,56.5,0.006077,0.034195,0.066667,0,375,0.042662,112,0.000152
267,267,,1,32,33,25,61,86,3,0.666667,0.767857,0,0,0.078242,0.032258,0,401,0.009258,82,0.000112
24065,24065,,3,2,5,4,3,7,1,1,1,2,0.007359,0.000268,0.25,0,400,0.042662,198,0.00014
140811,140811,,2,1,3,7,6,13,0,0,0,0,0.007201,0,0.5,0,399,0.02596,82,0.000115
325418,325418,,13,2,15,39,23,62,1,1,1,32,0.127037,0.000668,0.082418,0,105,0.415959,173,0.000299
4918,4918,,2,5,7,5,8,13,2,0.833333,0.9,5,0.007201,0.002773,0.166667,0,398,0.02596,59,0.000115
31580,31580,,3,1,4,12,10,22,0,0,0,0,0.007389,0,0.333333,0,396,0.053062,198,0.000152
50018,50018,,2,1,3,6,5,11,0,0,0,0,0.007201,0,0.5,0,395,0.02596,82,0.000115
39289,39289,,6,1,7,9,4,13,0,0,0,0,0.09082,0,0.2,0,124,0.153915,198,0.000166
89211,89211,,11,1,12,29,16,45,0,0,0,0,0.02603,0,0.109091,0,109,0.302016,51,0.000336
21886,21886,,2,6,8,8,12,20,2,0.857143,0.916667,6,0.007201,0.032026,0.142857,0,394,0.02596,133,0.000115
383,383,,2,4,6,13,15,28,1,1,1,3,0.007201,0.00146,0.2,0,392,0.02596,59,0.000115
2695,2695,,3,2,5,13,11,24,3,0.5,0.611111,5,0.016503,0.001102,0.25,0,389,0.035218,82,0.000118
99213,99213,,2,1,3,12,10,22,0,0,0,0,0.007201,0,0.5,0,388,0.02596,82,0.000115
94122,94122,,1,0,1,1,0,1,0,0,0,0,0.007201,0,0,0,387,0.009258,82,0.000115
58805,58805,,2,1,3,7,6,13,0,0,0,0,0.007201,0,0.5,0,386,0.02596,82,0.000115
67258,67258,,3,2,5,6,8,14,1,1,1,2,0.008051,0.000015,0.25,0,385,0.042662,82,0.000135
95944,95944,,7,1,8,15,7,22,0,0,0,0,0.023447,0,0.142857,0,383,0.12437,82,0.000176
29903,29903,,4,1,5,7,4,11,0,0,0,0,0.013974,0,0.25,0,102,0.17328,121,0.000161
14299,14299,,3,1,4,4,1,5,0,0,0,0,0.00905,0,0.333333,0,382,0.042662,105,0.000121
96225,96225,,5,1,6,6,1,7,0,0,0,0,0.021116,0,0.2,0,138,0.124347,82,0.000152
99045,99045,,2,1,3,2,1,3,0,0,0,0,0.007201,0,0.5,0,381,0.02596,82,0.000115
42749,42749,,2,3,5,16,17,33,1,1,1,2,0.007201,0.001088,0.25,0,380,0.02596,112,0.000115
70389,70389,,4,1,5,4,1,5,0,0,0,0,0.012137,0,0.25,0,378,0.059364,125,0.000127
270,270,,1,6,7,3,8,11,1,1,1,0,0,0.001279,0.166667,0,406,0.009258,59,0.000112
123908,123908,,2,1,3,10,9,19,0,0,0,0,0.000118,0,0.5,0,405,0.02596,59,0.000128
101306,101306,,2,1,3,4,3,7,0,0,0,0,0.000118,0,0.5,0,404,0.02596,59,0.000128
82660,82660,,2,1,3,10,9,19,0,0,0,0,0.000118,0,0.5,0,403,0.02596,59,0.000128
36474,36474,,2,1,3,3,2,5,0,0,0,0,0.000118,0,0.5,0,402,0.02596,59,0.000128
57630,57630,,1,1,2,2,2,4,0,0,0,0,0,0,0,28,407,0.009258,31,0.000112
33054,33054,,1,1,2,7,7,14,0,0,0,0,0,0,0,29,408,0.009258,32,0.000112
16673,16673,,1,3,4,3,7,10,2,0.75,0.833333,0,0,0.013044,0.333333,0,410,0.009258,12,0.000112
49628,49628,,2,1,3,10,9,19,0,0,0,0,0.001201,0,0.5,0,409,0.02596,12,0.000145
