Id,Label,timeset,indegree,outdegree,Degree,clustering,eigencentrality,componentnumber,strongcompnum,modularity_class,pageranks,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub
2041708,2041708,,4,1,5,0.25,0.014644,0,612,25,0.00023,8,5,13,0,0,0,0,0.004894,0
65403,65403,,13,0,13,0.032051,0.169428,0,83,1,0.000709,13,0,13,0,0,0,0,0.042193,0
9611,9611,,5,26,31,0.057471,0.023017,0,611,30,0.000165,13,41,54,5,0.326329,0.392235,357.700809,0.021045,0.075518
18333,18333,,5,5,10,0.166667,0.023529,0,594,45,0.000179,14,14,28,5,0.368421,0.399479,757.271703,0.010316,0.006692
1968,1968,,3,82,85,0.022806,0.011006,0,563,30,0.000162,11,112,123,8,0.378151,0.471012,478.45873,0.006147,0.181331
89862,89862,,16,0,16,0.016667,0.18161,0,54,25,0.001063,20,0,20,0,0,0,0,0.048065,0
6068,6068,,9,5,14,0.108974,0.111102,0,212,2,0.000218,22,18,40,2,0.666667,0.75,97.939897,0.023604,0.018227
63925,63925,,1,0,1,0,0.002832,0,211,30,0.000155,1,0,1,0,0,0,0,0.004594,0
13753,13753,,8,2,10,0.138889,0.060147,0,122,2,0.000193,10,4,14,1,1,1,1.5,0.029467,0.013749
8123,8123,,9,2,11,0.133333,0.108488,0,179,3,0.000296,16,7,23,1,1,1,18.086905,0.019078,0.003243
66519,66519,,11,5,16,0.07619,0.056994,0,210,30,0.000341,16,10,26,2,0.833333,0.9,86.509524,0.03229,0.002683
18511,18511,,16,7,23,0.077922,0.132987,0,205,3,0.00028,19,9,28,4,0.427536,0.478814,467.849824,0.04854,0.015562
2148773,2148773,,4,1,5,0.333333,0.017316,0,185,30,0.000159,10,5,15,0,0,0,0,0.021477,0
49632,49632,,4,1,5,0.25,0.022928,0,184,3,0.000201,6,2,8,0,0,0,0,0.008841,0
23339,23339,,11,2,13,0.151515,0.142861,0,48,30,0.000338,19,10,29,1,1,1,18.878968,0.028885,0.00497
80500,80500,,8,1,9,0.178571,0.080764,0,183,2,0.000261,12,2,14,0,0,0,0,0.028606,0
4086,4086,,9,18,27,0.083077,0.052051,0,182,30,0.000192,11,23,34,6,0.334884,0.41794,349.972886,0.032836,0.031891
8207,8207,,1,2,3,0.5,0.002832,0,782,3,0.000152,1,2,3,1,1,1,0,0,0.00108
23893,23893,,11,1,12,0.1,0.135987,0,35,3,0.000442,15,5,20,0,0,0,0,0.021704,0
17,17,,1,36,37,0.059524,0.002832,0,904,3,0.000152,6,52,58,6,0.340385,0.383597,0,0,0.081093
128028,128028,,6,1,7,0.166667,0.024835,0,763,37,0.000228,8,3,11,0,0,0,0,0.011152,0
29,29,,2,50,52,0.040784,0.006769,0,903,3,0.000156,13,69,82,6,0.355693,0.408251,104.707623,0.004036,0.104844
615,615,,3,39,42,0.051829,0.012295,0,869,3,0.000158,6,70,76,7,0.320128,0.379893,161.120475,0.011729,0.087778
71,71,,2,54,56,0.042424,0.006769,0,885,3,0.000156,8,70,78,6,0.347773,0.403799,129.030948,0.004036,0.091545
68183,68183,,14,0,14,0.021978,0.078447,0,323,25,0.000265,19,0,19,0,0,0,0,0.068639,0
91,91,,4,45,49,0.051418,0.017281,0,838,3,0.000162,25,68,93,7,0.353782,0.404467,499.605346,0.013809,0.091758
29798,29798,,3,2,5,0.25,0.010707,0,807,30,0.000165,5,2,7,1,1,1,2,0.005145,0.001648
2577,2577,,9,4,13,0.121212,0.059511,0,720,3,0.000187,11,6,17,10,0.201044,0.243544,118.460555,0.031907,0.005016
115,115,,3,31,34,0.054924,0.012025,0,806,3,0.000159,15,46,61,7,0.339785,0.393791,170.857283,0.009253,0.057884
13442,13442,,7,5,12,0.145455,0.051373,0,215,13,0.000226,10,9,19,3,0.571429,0.652778,54.93254,0.021968,0.011037
9382,9382,,7,4,11,0.166667,0.042618,0,636,1,0.000182,13,9,22,4,0.470588,0.614583,26.644444,0.020415,0.008351
1228,1228,,7,49,56,0.048148,0.04262,0,738,3,0.000178,19,76,95,6,0.375462,0.430186,1453.879771,0.023594,0.108333
54491,54491,,4,8,12,0.118182,0.035963,0,485,25,0.000171,7,11,18,1,1,1,93.934596,0.011053,0.019374
6369,6369,,7,6,13,0.128788,0.038575,0,444,13,0.000195,11,12,23,1,1,1,26.235354,0.019901,0.033163
18658,18658,,7,2,9,0.125,0.042782,0,442,3,0.000179,7,2,9,1,1,1,4.884524,0.02574,0.001603
114916,114916,,4,2,6,0.25,0.015963,0,794,3,0.000163,4,2,6,1,1,1,3,0.010485,0.000004
383,383,,7,13,20,0.093567,0.036733,0,754,3,0.000176,30,25,55,7,0.266859,0.304465,550.760604,0.025384,0.019361
12597,12597,,17,5,22,0.090476,0.142198,0,379,3,0.000283,51,37,88,6,0.262136,0.335494,391.184722,0.060792,0.014911
60738,60738,,2,1,3,0.5,0.006769,0,792,3,0.000156,2,1,3,0,0,0,0,0.004036,0
34537,34537,,30,2,32,0.063441,0.169242,0,597,30,0.000367,73,11,84,1,1,1,19.366667,0.115088,0.004921
1343,1343,,5,23,28,0.05698,0.021218,0,791,3,0.000172,30,51,81,9,0.262816,0.327594,363.762082,0.012968,0.039028
914,914,,2,13,15,0.019048,0.008247,0,752,31,0.000166,2,20,22,10,0.23818,0.314229,245.590548,0.005496,0.015247
39321,39321,,32,3,35,0.043672,0.294834,0,84,1,0.000853,66,13,79,1,1,1,120.677965,0.101628,0.005218
11333,11333,,19,3,22,0.064286,0.112348,0,557,3,0.000267,46,21,67,2,0.75,0.833333,50.266667,0.070497,0.002241
32173,32173,,24,3,27,0.055385,0.322391,0,56,13,0.000769,29,4,33,1,1,1,314.553205,0.068314,0.002819
27805,27805,,14,3,17,0.116667,0.095748,0,616,3,0.000306,18,4,22,1,1,1,30.611111,0.04317,0.006844
6088,6088,,2,3,5,0,0.010002,0,741,3,0.000175,2,3,5,1,1,1,17,0.005728,0.003834
60758,60758,,4,1,5,0.25,0.017316,0,329,3,0.00016,4,1,5,0,0,0,0,0.023109,0
20946,20946,,8,5,13,0.113636,0.064022,0,407,3,0.000221,18,14,32,6,0.311005,0.368974,373.913982,0.019703,0.019501
4580,4580,,4,1,5,0.416667,0.059122,0,655,3,0.000167,6,3,9,0,0,0,0,0.014465,0
73747,73747,,0,1,1,0,0,0,905,30,0.000152,0,1,1,2,0.666667,0.75,0,0,0.000566
77673,77673,,9,2,11,0.111111,0.051087,0,610,30,0.000417,12,3,15,1,1,1,15.55609,0.011371,0.001557
16404,16404,,1,8,9,0.125,0.002832,0,907,37,0.000152,2,11,13,4,0.345992,0.402439,0,0,0.020121
83075,83075,,2,0,2,0,0.005664,0,906,37,0.000175,2,0,2,0,0,0,0,0.003155,0
39068,39068,,4,2,6,0.2,0.029037,0,139,1,0.000193,4,2,6,1,1,1,8,0.003959,0.003344
20774,20774,,18,9,27,0.081538,0.184302,0,290,37,0.000345,37,23,60,3,0.578947,0.666667,411.373452,0.048353,0.031266
27241,27241,,4,3,7,0.2,0.024862,0,404,13,0.000195,5,4,9,1,1,1,5.533333,0.004999,0.017005
8217,8217,,1,2,3,0.5,0.002832,0,908,15,0.000152,2,3,5,2,0.6,0.666667,0,0,0.000966
10583,10583,,8,3,11,0.1,0.064241,0,456,15,0.000312,15,8,23,1,1,1,40.3,0.019409,0.003431
34824,34824,,2,8,10,0.011111,0.006769,0,902,30,0.000157,2,8,10,2,0.785714,0.863636,16.916667,0.013077,0.019792
8167,8167,,7,1,8,0.214286,0.050177,0,234,30,0.000193,8,2,10,0,0,0,0,0.028495,0
86191,86191,,12,1,13,0.098485,0.091463,0,60,1,0.000276,18,4,22,0,0,0,0,0.042495,0
4653,4653,,24,1,25,0.085145,0.204057,0,325,3,0.000303,45,7,52,0,0,0,0,0.091278,0
41021,41021,,2,2,4,0.333333,0.008088,0,899,3,0.000155,45,44,89,1,1,1,1.333333,0.005217,0.00022
48705,48705,,17,1,18,0.091912,0.171446,0,70,40,0.000463,37,1,38,0,0,0,0,0.03497,0
73794,73794,,2,2,4,0.333333,0.008088,0,898,3,0.000155,11,11,22,1,1,1,0.642857,0.005217,0.001228
22088,22088,,20,5,25,0.070652,0.171395,0,226,13,0.000273,28,8,36,3,0.483871,0.577778,268.904942,0.090476,0.017252
2648,2648,,6,4,10,0.111111,0.031154,0,773,3,0.000176,19,17,36,4,0.38342,0.417793,55.328109,0.015825,0.004213
1116,1116,,4,25,29,0.059524,0.018839,0,801,15,0.000166,13,35,48,7,0.339383,0.384925,490.771242,0.009149,0.065831
428190,428190,,18,4,22,0.080952,0.126097,0,451,45,0.000314,33,15,48,4,0.466667,0.630952,92.20873,0.066588,0.00358
68768,68768,,11,1,12,0.090909,0.054697,0,413,30,0.000236,14,1,15,0,0,0,0,0.039932,0
65223,65223,,10,1,11,0.111111,0.120627,0,90,13,0.000473,13,1,14,0,0,0,0,0.02415,0
90826,90826,,1,0,1,0,0.003937,0,897,3,0.000155,1,0,1,0,0,0,0,0.005217,0
209,209,,2,12,14,0.089744,0.008088,0,896,3,0.000155,10,21,31,8,0.259117,0.294319,34.8,0.005217,0.017536
25320,25320,,4,3,7,0.266667,0.015963,0,891,45,0.000174,9,8,17,5,0.37931,0.487879,8.366667,0.006561,0.006812
35061,35061,,3,1,4,0.333333,0.012025,0,890,15,0.000162,4,2,6,0,0,0,0,0.008489,0
11522,11522,,10,4,14,0.108974,0.078559,0,223,2,0.000213,17,6,23,1,1,1,40.771825,0.041711,0.016238
16645,16645,,2,3,5,0.05,0.00898,0,779,25,0.000159,2,3,5,5,0.401274,0.442328,36.896512,0.008197,0.004665
32528,32528,,3,1,4,0.333333,0.02192,0,430,3,0.000161,3,1,4,0,0,0,0,0.008909,0
39709,39709,,37,2,39,0.04623,0.300202,0,38,13,0.00065,52,5,57,1,1,1,20.37619,0.134496,0.010312
6952,6952,,1,1,2,0,0.003937,0,889,3,0.000155,1,1,2,3,0.466667,0.52381,0.952381,0.005217,0.003487
4906,4906,,9,1,10,0.152778,0.091486,0,306,3,0.000212,23,14,37,0,0,0,0,0.029002,0
5441,5441,,24,7,31,0.072414,0.314379,0,168,3,0.000594,37,17,54,4,0.525,0.615079,773.353642,0.066524,0.013635
34632,34632,,5,1,6,0.25,0.02323,0,809,13,0.000163,8,3,11,0,0,0,0,0.025714,0
5469,5469,,12,0,12,0.045455,0.09899,0,87,3,0.000304,12,0,12,0,0,0,0,0.024961,0
52201,52201,,7,15,22,0.069048,0.034313,0,392,1,0.000169,10,21,31,2,0.85,0.911765,143.477381,0.03968,0.02752
2424,2424,,4,55,59,0.03781,0.022182,0,724,3,0.000161,6,59,65,6,0.401826,0.490956,419.914104,0.015385,0.153804
2443,2443,,14,17,31,0.062069,0.115828,0,531,3,0.000263,39,38,77,9,0.294067,0.353105,2441.492271,0.040109,0.028798
28045,28045,,12,2,14,0.021978,0.146415,0,276,1,0.000544,19,2,21,1,1,1,98.072835,0.051305,0.002862
26004,26004,,9,6,15,0.087912,0.041745,0,672,3,0.000215,14,11,25,3,0.5,0.575758,106.017857,0.032517,0.015362
2469,2469,,12,16,28,0.081197,0.108192,0,373,30,0.000224,21,22,43,4,0.355114,0.426,725.606408,0.043618,0.047749
1965,1965,,19,40,59,0.057169,0.1347,0,661,3,0.000302,54,75,129,7,0.348033,0.412063,3976.709473,0.055135,0.101251
48062,48062,,7,2,9,0.160714,0.038487,0,394,37,0.000189,9,4,13,1,1,1,1.833333,0.022592,0.010312
117700,117700,,12,1,13,0.090909,0.053428,0,842,1,0.000712,20,1,21,0,0,0,0,0.022424,0
33226,33226,,3,16,19,0.062092,0.012025,0,888,1,0.000175,9,22,31,4,0.493333,0.637387,53.694048,0.005558,0.034496
14299,14299,,5,0,5,0.05,0.029846,0,239,3,0.000183,6,0,6,0,0,0,0,0.022766,0
42974,42974,,7,2,9,0.142857,0.038534,0,596,30,0.000173,11,6,17,1,1,1,12,0.034543,0.000077
24545,24545,,38,1,39,0.045519,0.549839,0,30,2,0.001338,57,4,61,0,0,0,0,0.099866,0
38997,38997,,21,1,22,0.080952,0.188959,0,258,1,0.000357,22,1,23,0,0,0,0,0.088675,0
139300,139300,,0,4,4,0,0,0,909,3,0.000152,0,4,4,1,1,1,0,0,0.001136
125857,125857,,2,0,2,0,0.005852,0,662,3,0.000198,2,0,2,0,0,0,0,0.001031,0
57845,57845,,5,1,6,0.2,0.023499,0,808,3,0.000197,7,3,10,0,0,0,0,0.01421,0
41543,41543,,3,1,4,0.333333,0.011192,0,872,3,0.000223,3,1,4,0,0,0,0,0.000115,0
67757,67757,,6,1,7,0.166667,0.027773,0,678,3,0.000264,6,1,7,0,0,0,0,0.007464,0
8233,8233,,1,11,12,0.090909,0.002832,0,914,31,0.000152,1,23,24,5,0.340557,0.409848,0,0,0.008949
21632,21632,,23,9,32,0.06129,0.175321,0,342,31,0.000446,34,12,46,5,0.387097,0.463056,1281.680195,0.07915,0.025744
33411,33411,,5,8,13,0.098485,0.023049,0,855,30,0.000216,12,15,27,2,0.769231,0.85,50.741667,0.004762,0.025093
26630,26630,,1,1,2,0,0.002832,0,913,31,0.000165,1,1,2,1,1,1,1,0.000445,0.001318
107074,107074,,2,1,3,0.5,0.006769,0,912,31,0.000165,2,1,3,0,0,0,0,0.000445,0
11827,11827,,3,0,3,0,0.009601,0,911,31,0.000181,5,0,5,0,0,0,0,0.004492,0
50111,50111,,2,1,3,0.5,0.006769,0,910,31,0.000165,2,1,3,0,0,0,0,0.000445,0
62699,62699,,14,6,20,0.067251,0.102413,0,604,31,0.000299,15,6,21,2,0.727273,0.8125,184.758929,0.038203,0.006837
26227,26227,,5,11,16,0.090476,0.024335,0,789,31,0.000189,8,12,20,4,0.434783,0.547917,135.474578,0.00698,0.034393
70134,70134,,4,0,4,0,0.015059,0,668,31,0.000187,5,0,5,0,0,0,0,0.007509,0
24628,24628,,1,1,2,0,0.002832,1,915,0,0.000152,1,1,2,0,0,0,0,0,0
113419,113419,,4,0,4,0,0.05185,0,88,25,0.000534,4,0,4,0,0,0,0,0.004429,0
79465,79465,,10,1,11,0.1,0.092987,0,141,13,0.000332,14,4,18,0,0,0,0,0.024675,0
37379,37379,,5,5,10,0.208333,0.03505,0,619,13,0.00018,9,9,18,4,0.410714,0.5,53.494444,0.016677,0.027109
22039,22039,,8,5,13,0.113636,0.093036,0,344,13,0.000278,13,8,21,2,0.611111,0.681818,167.8458,0.022894,0.014581
47167,47167,,13,1,14,0.089744,0.117469,0,247,13,0.000315,22,4,26,0,0,0,0,0.051146,0
40521,40521,,34,1,35,0.053476,0.458797,0,74,13,0.001145,46,2,48,0,0,0,0,0.098489,0
51275,51275,,5,1,6,0.25,0.030981,0,881,15,0.000195,9,5,14,0,0,0,0,0.016058,0
1293,1293,,2,9,11,0.155556,0.008088,0,884,3,0.000155,2,9,11,7,0.326422,0.354766,58.761379,0.004556,0.014896
5056,5056,,31,3,34,0.077652,0.332439,0,169,3,0.000615,74,31,105,5,0.375,0.431944,370.953697,0.093168,0.008368
39532,39532,,23,2,25,0.063406,0.24188,0,75,3,0.00054,30,8,38,1,1,1,57.059596,0.086246,0.004901
29823,29823,,3,2,5,0.25,0.016926,0,716,3,0.000158,3,2,5,1,1,1,7.5,0.010168,0.000625
42636,42636,,9,1,10,0.111111,0.041193,0,663,1,0.000211,18,3,21,0,0,0,0,0.04408,0
62623,62623,,9,2,11,0.155556,0.051078,0,502,1,0.000231,12,4,16,1,1,1,18,0.027969,0.001255
3241,3241,,6,10,16,0.114286,0.054628,0,702,3,0.00018,10,15,25,5,0.344262,0.391383,233.235692,0.016841,0.020191
15401,15401,,3,5,8,0.142857,0.012025,0,883,13,0.00016,3,5,8,1,1,1,4.8,0.00671,0.016994
18103,18103,,7,10,17,0.083333,0.026882,0,882,15,0.000181,16,18,34,6,0.354244,0.423438,239.958135,0.025688,0.013625
60096,60096,,9,12,21,0.073684,0.075091,0,573,25,0.000256,9,12,21,2,0.761905,0.84375,311.800501,0.032946,0.020971
223,223,,2,10,12,0.127273,0.008088,0,880,1,0.000155,2,11,13,6,0.28533,0.310991,95.495091,0.004556,0.024603
32532,32532,,13,0,13,0.032051,0.15054,0,172,13,0.000646,13,0,13,0,0,0,0,0.033472,0
2908,2908,,7,6,13,0.106061,0.064558,0,460,15,0.0002,17,13,30,4,0.440678,0.522436,117.136908,0.020428,0.022315
7903,7903,,3,3,6,0.2,0.018855,0,657,3,0.000173,5,5,10,1,1,1,4.277778,0.005166,0.007401
18255,18255,,5,32,37,0.039683,0.02851,0,680,13,0.000217,11,39,50,4,0.471545,0.574713,347.806368,0.011482,0.070032
36182,36182,,8,1,9,0.125,0.038901,0,697,3,0.000217,10,2,12,0,0,0,0,0.019919,0
11236,11236,,15,5,20,0.105263,0.128419,0,345,13,0.00024,27,15,42,3,0.463415,0.54386,155.644084,0.062611,0.020579
29021,29021,,6,1,7,0.2,0.053514,0,369,1,0.000179,6,1,7,0,0,0,0,0.0224,0
134502,134502,,2,1,3,0.5,0.008088,0,849,3,0.000155,3,1,4,0,0,0,0,0.004556,0
1768,1768,,6,7,13,0.166667,0.039309,0,707,3,0.000208,29,28,57,7,0.315118,0.352918,644.923074,0.015596,0.008168
4491,4491,,14,1,15,0.126374,0.170634,0,277,3,0.000262,21,5,26,0,0,0,0,0.038647,0
7565,7565,,8,9,17,0.066667,0.055588,0,174,30,0.000241,8,9,17,2,0.785714,0.863636,93.58745,0.012843,0.018618
17744,17744,,10,11,21,0.076316,0.055428,0,686,13,0.000211,21,21,42,6,0.338369,0.406696,413.886742,0.027829,0.033364
404,404,,5,4,9,0.196429,0.036148,0,750,3,0.000178,8,6,14,2,0.615385,0.6875,25.202381,0.012384,0.004255
117658,117658,,7,2,9,0.125,0.037478,0,583,1,0.000239,9,3,12,1,1,1,16.333333,0.028227,0.00023
57757,57757,,4,16,20,0.013158,0.013779,0,848,25,0.000169,5,18,23,4,0.526882,0.629252,144.389658,0.015865,0.022838
22459,22459,,15,18,33,0.059476,0.169548,0,204,13,0.000285,19,27,46,3,0.608696,0.694444,1296.667636,0.060996,0.038872
4257,4257,,9,2,11,0.122222,0.076179,0,261,37,0.000267,13,5,18,6,0.27027,0.295417,1369.966667,0.018509,0
12243,12243,,13,4,17,0.091667,0.124673,0,368,3,0.000256,28,19,47,4,0.404255,0.436404,1120.755178,0.038562,0.002329
89556,89556,,9,1,10,0.180556,0.131181,0,224,1,0.000442,10,1,11,0,0,0,0,0.025229,0
2017,2017,,6,9,15,0.131868,0.088535,0,646,3,0.000182,11,13,24,7,0.243243,0.311393,322.955303,0.020119,0.022567
4068,4068,,5,10,15,0.104396,0.080388,0,382,3,0.000231,6,12,18,7,0.308594,0.408921,495.36175,0.007865,0.030986
1500,1500,,4,6,10,0.152778,0.019141,0,841,3,0.000193,5,7,12,5,0.30363,0.344384,107.416667,0.012308,0.004744
57428,57428,,1,30,31,0.041379,0.002832,0,925,1,0.000152,1,44,45,4,0.517442,0.622659,0,0,0.038055
88068,88068,,4,0,4,0,0.019849,0,19,25,0.000215,4,0,4,0,0,0,0,0.015519,0
108130,108130,,2,4,6,0.2,0.006769,0,924,30,0.000157,3,6,9,1,1,1,2.333333,0.001894,0.003088
73315,73315,,22,0,22,0.012987,0.229908,0,104,30,0.000826,25,0,25,0,0,0,0,0.050941,0
69746,69746,,11,2,13,0.090909,0.060257,0,491,2,0.000257,20,6,26,2,0.666667,0.75,25.083333,0.040904,0.001062
59006,59006,,1,1,2,0,0.002832,0,923,1,0.000157,1,1,2,2,0.6,0.666667,3,0.001894,0.000755
85140,85140,,5,4,9,0.160714,0.017961,0,870,25,0.000206,7,7,14,2,0.714286,0.8,13.666667,0.004942,0.010682
107294,107294,,3,1,4,0.333333,0.012025,0,922,1,0.000162,8,6,14,0,0,0,0,0.00459,0
125123,125123,,1,0,1,0,0.002832,0,921,1,0.000157,1,0,1,0,0,0,0,0.001894,0
86751,86751,,25,1,26,0.053333,0.172708,0,32,13,0.000599,34,4,38,0,0,0,0,0.07634,0
128807,128807,,19,0,19,0.01462,0.10906,0,246,37,0.000965,21,0,21,0,0,0,0,0.03818,0
70393,70393,,6,14,20,0.031579,0.034839,0,545,25,0.000195,6,23,29,1,1,1,251.539652,0.020341,0.027301
127269,127269,,4,1,5,0.05,0.048118,0,534,1,0.000176,4,1,5,1,1,1,35.8,0.021504,0.000287
117061,117061,,2,1,3,0.5,0.006769,0,920,1,0.000157,2,1,3,0,0,0,0,0.001894,0
75832,75832,,5,1,6,0.2,0.0199,0,919,30,0.000186,9,4,13,0,0,0,0,0.013476,0
60777,60777,,10,7,17,0.040441,0.037478,0,582,30,0.000313,10,8,18,2,0.684211,0.769231,155.597756,0.033255,0.018028
99213,99213,,3,1,4,0.333333,0.016261,0,744,1,0.000163,3,1,4,0,0,0,0,0.00479,0
128071,128071,,8,0,8,0.017857,0.045683,0,533,1,0.000481,8,0,8,0,0,0,0,0.00577,0
82475,82475,,2,1,3,0.5,0.006769,0,918,1,0.000157,5,4,9,0,0,0,0,0.001894,0
1390354,1390354,,16,1,17,0.075,0.148358,0,354,25,0.000302,20,2,22,0,0,0,0,0.041201,0
75743,75743,,1,0,1,0,0.002832,0,917,1,0.000157,1,0,1,0,0,0,0,0.001894,0
81394,81394,,35,1,36,0.051261,0.700763,0,24,1,0.002094,60,4,64,0,0,0,0,0.062656,0
95735,95735,,7,2,9,0.160714,0.031015,0,487,30,0.000325,8,3,11,1,1,1,6.4,0.014803,0.003243
