Id,Label,timeset,weighted indegree,weighted outdegree,Weighted Degree,clustering,eigencentrality,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,strongcompnum,pageranks
536,536,,18,18,36,0.333333,0.02596,2,2,4,1,1,1,1,0.006361,0.006361,79,0,226,0.000126
30394,30394,,33,16,49,0.083333,0.250888,12,1,13,0,0,0,0,0.029659,0.029659,79,0,213,0.000284
16485,16485,,3,3,6,0,0.009258,1,1,2,0,0,0,0,0,0,8,8,229,0.000112
114798,114798,,3,4,7,0.5,0.009258,1,2,3,1,1,1,0,0.000286,0.000286,61,0,231,0.000112
122337,122337,,3,0,3,0,0.027774,3,0,3,0,0,0,0,0.003221,0.003221,61,0,230,0.000223
114801,114801,,3,3,6,0,0.009258,1,1,2,0,0,0,0,0,0,9,9,232,0.000112
2170994,2170994,,8,8,16,0,0.009258,1,1,2,0,0,0,0,0,0,10,10,233,0.000112
115,115,,35,52,87,0.07619,0.009258,1,15,16,4,0.568627,0.704023,0,0.04833,0.04833,79,0,248,0.000112
4234,4234,,32,30,62,0.166667,0.068622,5,2,7,3,0.5,0.611111,12,0.014422,0.014422,79,0,247,0.000178
82135,82135,,4,3,7,0.5,0.02596,2,1,3,0,0,0,0,0.004295,0.004295,79,0,243,0.000118
54964,54964,,348,268,616,0.022163,1,48,1,49,0,0,0,0,0.19553,0.19553,78,0,89,0.001212
44354,44354,,8,4,12,0.25,0.059364,4,1,5,0,0,0,0,0.006007,0.006007,131,0,242,0.000148
2128,2128,,8,6,14,0.333333,0.042662,3,1,4,0,0,0,0,0.007151,0.007151,79,0,241,0.000122
22076,22076,,82,48,130,0.066176,0.326674,16,2,18,1,1,1,20,0.099222,0.099222,11,0,240,0.000302
2648,2648,,19,15,34,0.2,0.061178,5,1,6,0,0,0,0,0.024561,0.024561,71,0,238,0.000139
89818,89818,,53,35,88,0.071429,0.639541,15,1,16,0,0,0,0,0.033478,0.033478,79,0,22,0.001114
337,337,,10,10,20,0.333333,0.02596,2,2,4,1,1,1,1,0.004567,0.004567,77,0,237,0.000118
14569,14569,,7,5,12,0.25,0.063461,3,2,5,1,1,1,4,0.007958,0.007958,79,0,235,0.000128
32043,32043,,9,3,12,0.2,0.076066,5,1,6,0,0,0,0,0.056532,0.056532,71,0,234,0.000141
16511,16511,,9,13,22,0.25,0.009258,1,5,6,4,0.390728,0.439266,0,0.010323,0.010323,71,0,280,0.000112
51649,51649,,63,51,114,0.111111,0.191916,9,1,10,0,0,0,0,0.016438,0.016438,66,0,158,0.000364
16587,16587,,13,53,66,0.043333,0.02596,2,24,26,3,0.571429,0.678571,50,0.087081,0.087081,71,0,279,0.000132
26004,26004,,26,25,51,0.2,0.053062,3,4,7,2,0.714286,0.8,10,0.011724,0.011724,71,0,252,0.000137
115608,115608,,8,7,15,0.5,0.02596,2,1,3,0,0,0,0,0.000917,0.000917,71,0,249,0.000132
123012,123012,,4,4,8,0,0.009258,1,1,2,0,0,0,0,0,0,12,11,281,0.000112
139396,139396,,1,4,5,0.25,0.009258,1,4,5,1,1,1,0,0.007187,0.007187,58,0,283,0.000112
77538,77538,,5,3,8,0.333333,0.042662,3,1,4,0,0,0,0,0.008043,0.008043,58,0,282,0.000139
48465,48465,,88,69,157,0.0625,0.315022,17,1,18,0,0,0,0,0.05676,0.05676,84,0,225,0.000566
64873,64873,,19,14,33,0.166667,0.180452,6,1,7,0,0,0,0,0.016071,0.016071,58,0,214,0.000214
16529,16529,,0,3,3,0,0,0,3,3,3,0.625,0.766667,0,0.001045,0.001045,77,0,289,0.000112
191083,191083,,15,12,27,0.166667,0.068622,5,2,7,2,0.666667,0.75,8,0.010201,0.010201,77,0,288,0.000161
33886,33886,,3,2,5,0.5,0.018516,2,1,3,0,0,0,0,0.000093,0.000093,77,0,285,0.000145
56509,56509,,6,3,9,0.25,0.044476,4,1,5,0,0,0,0,0.001464,0.001464,77,0,284,0.000166
16534,16534,,12,14,26,0.333333,0.009258,1,3,4,1,1,1,0,0.00046,0.00046,58,0,292,0.000112
17510,17510,,5,3,8,0.333333,0.042662,3,1,4,0,0,0,0,0.001428,0.001428,58,0,291,0.000152
54736,54736,,3,1,4,0.333333,0.053062,3,1,4,0,0,0,0,0.00375,0.00375,58,0,290,0.000156
106658,106658,,3,4,7,0.5,0.009258,1,2,3,1,1,1,0,0,0,94,12,294,0.000112
118234,118234,,7,5,12,0.333333,0.035218,3,1,4,0,0,0,0,0,0,94,12,293,0.000181
82082,82082,,1,1,2,0,0.009258,1,1,2,0,0,0,0,0,0,13,13,295,0.000112
123048,123048,,2,2,4,0,0.009258,1,1,2,0,0,0,0,0,0,14,14,296,0.000112
106672,106672,,1,1,2,0,0.009258,1,1,2,0,0,0,0,0,0,15,15,297,0.000112
114865,114865,,13,13,26,0,0.009258,1,1,2,0,0,0,0,0,0,16,16,298,0.000112
44815,44815,,6,4,10,0.333333,0.053062,3,1,4,0,0,0,0,0.013262,0.013262,64,0,278,0.00012
22039,22039,,5,4,9,0.2,0.168791,4,3,7,2,0.75,0.833333,24,0.028942,0.028942,40,0,112,0.000187
21380,21380,,5,2,7,0.25,0.06232,4,1,5,0,0,0,0,0.07089,0.07089,77,0,277,0.00012
20774,20774,,54,61,115,0.083333,0.06232,4,10,14,2,0.846154,0.909091,38,0.040612,0.040612,71,0,276,0.00023
48705,48705,,22,9,31,0.122222,0.281436,10,1,11,0,0,0,0,0.038078,0.038078,131,0,80,0.0003
21838,21838,,19,19,38,0.25,0.036359,2,3,5,2,0.75,0.833333,6,0.008991,0.008991,71,0,270,0.000117
17744,17744,,26,22,48,0.333333,0.036359,2,2,4,1,1,1,2,0.009645,0.009645,71,0,268,0.000117
65403,65403,,14,6,20,0.142857,0.122825,7,1,8,0,0,0,0,0.013212,0.013212,61,0,266,0.000212
30576,30576,,43,32,75,0.083333,0.182783,11,2,13,2,0.666667,0.75,33,0.038048,0.038048,61,0,265,0.00025
38515,38515,,12,3,15,0.125,0.164815,8,1,9,0,0,0,0,0.049872,0.049872,87,0,264,0.000144
16757,16757,,5,4,9,0.5,0.036359,2,1,3,0,0,0,0,0.007739,0.007739,71,0,263,0.000117
61639,61639,,16,8,24,0.111111,0.197827,9,1,10,0,0,0,0,0.048076,0.048076,71,0,262,0.000177
19314,19314,,4,3,7,0.166667,0.080163,4,3,7,2,0.75,0.833333,12,0.061281,0.061281,71,0,261,0.000153
40120,40120,,36,8,44,0.076923,0.430978,14,1,15,0,0,0,0,0.042398,0.042398,66,0,24,0.00051
18548,18548,,1,0,1,0,0.016702,1,0,1,0,0,0,0,0.007739,0.007739,71,0,258,0.000117
52420,52420,,24,16,40,0.111111,0.153274,9,1,10,0,0,0,0,0.07724,0.07724,63,0,257,0.000163
114916,114916,,38,40,78,0.25,0.036359,2,3,5,1,1,1,4,0.009016,0.009016,58,0,256,0.000117
35061,35061,,4,3,7,0.5,0.036359,2,1,3,0,0,0,0,0.007739,0.007739,71,0,253,0.000117
1384652,1384652,,29,29,58,0,0.009258,1,1,2,0,0,0,0,0,0,17,17,299,0.000112
209,209,,13,22,35,0.166667,0.009258,1,6,7,2,0.857143,0.916667,0,0.003732,0.003732,62,0,306,0.000112
5777,5777,,10,6,16,0.25,0.05192,4,1,5,0,0,0,0,0.017804,0.017804,71,0,305,0.000138
23528,23528,,22,16,38,0.142857,0.144777,6,2,8,1,1,1,12,0.008921,0.008921,62,0,304,0.00023
68183,68183,,20,12,32,0.142857,0.087138,7,1,8,0,0,0,0,0.014612,0.014612,62,0,302,0.000171
4591,4591,,3,2,5,0.5,0.02596,2,1,3,0,0,0,0,0.000332,0.000332,62,0,301,0.000128
33917,33917,,1,0,1,0,0.009258,1,0,1,0,0,0,0,0.000332,0.000332,62,0,300,0.000128
32978,32978,,1,1,2,0,0.009258,1,1,2,0,0,0,0,0,0,18,18,307,0.000112
90322,90322,,0,1,1,0,0,0,1,1,1,1,1,0,0,0,19,19,309,0.000112
118228,118228,,7,6,13,0.5,0.018516,2,1,3,0,0,0,0,0,0,19,19,308,0.000211
98516,98516,,3,3,6,0,0.009258,1,1,2,0,0,0,0,0,0,20,20,310,0.000112
123098,123098,,18,18,36,0,0.009258,1,1,2,0,0,0,0,0,0,21,21,311,0.000112
106717,106717,,1,1,2,0,0.009258,1,1,2,0,0,0,0,0,0,22,22,312,0.000112
223,223,,0,1,1,0,0,0,1,1,1,1,1,0,0.000272,0.000272,40,0,314,0.000112
8047,8047,,45,40,85,0.166667,0.092768,6,1,7,0,0,0,0,0.003057,0.003057,40,0,313,0.000388
49376,49376,,8,9,17,0.5,0.009258,1,2,3,1,1,1,0,0.000358,0.000358,87,0,316,0.000112
111479,111479,,6,2,8,0.25,0.059364,4,1,5,0,0,0,0,0.004034,0.004034,87,0,315,0.000184
73955,73955,,2,2,4,0,0.009258,1,1,2,0,0,0,0,0,0,23,23,317,0.000112
125601,125601,,4,1,5,0.25,0.066047,4,1,5,0,0,0,0,0.004085,0.004085,58,0,255,0.000175
118364,118364,,13,4,17,0.166667,0.109851,6,1,7,0,0,0,0,0.010289,0.010289,58,0,254,0.000246
123111,123111,,1,5,6,0.333333,0.009258,1,3,4,1,1,1,0,0.000739,0.000739,87,0,320,0.000112
124161,124161,,4,3,7,0.5,0.02596,2,1,3,0,0,0,0,0.000066,0.000066,87,0,319,0.000145
126691,126691,,18,9,27,0.166667,0.138855,6,1,7,0,0,0,0,0.00825,0.00825,87,0,318,0.000248
234,234,,5,11,16,0.142857,0.009258,1,7,8,3,0.6,0.722222,0,0.012043,0.012043,84,0,323,0.000112
11522,11522,,14,10,24,0.2,0.068622,5,1,6,0,0,0,0,0.052953,0.052953,84,0,322,0.000164
4504,4504,,12,9,21,0.25,0.035218,3,2,5,1,1,1,2,0.009857,0.009857,84,0,321,0.00013
7839,7839,,13,9,22,0.25,0.087607,4,1,5,0,0,0,0,0.009438,0.009438,64,0,59,0.000137
16623,16623,,2,20,22,0.071429,0.009258,1,14,15,3,0.6,0.7,0,0.042532,0.042532,66,0,330,0.000112
39301,39301,,8,3,11,0.333333,0.042662,3,1,4,0,0,0,0,0.01124,0.01124,66,0,329,0.000122
95247,95247,,5,3,8,0.333333,0.06795,3,1,4,0,0,0,0,0.004462,0.004462,77,0,167,0.000165
117399,117399,,8,7,15,0.5,0.02596,2,1,3,0,0,0,0,0.00378,0.00378,66,0,328,0.000119
49560,49560,,8,7,15,0.5,0.02596,2,1,3,0,0,0,0,0.00378,0.00378,66,0,327,0.000119
23339,23339,,9,8,17,0.25,0.042662,3,2,5,1,1,1,2,0.004514,0.004514,66,0,326,0.000168
20654,20654,,43,46,89,0.060606,0.1882,9,14,23,2,0.809524,0.882353,228.5,0.10739,0.10739,24,0,114,0.00025
104015,104015,,101,61,162,0.036559,0.692552,31,1,32,0,0,0,0,0.155113,0.155113,62,0,100,0.000899
71674,71674,,10,7,17,0.25,0.05192,4,1,5,0,0,0,0,0.006823,0.006823,66,0,324,0.000132
98544,98544,,1,1,2,0,0.009258,1,1,2,0,0,0,0,0,0,25,24,331,0.000112
8435,8435,,4,12,16,0.111111,0.009258,1,9,10,3,0.526316,0.65,0,0.014753,0.014753,47,0,345,0.000112
60163,60163,,5,4,9,0.5,0.02596,2,1,3,0,0,0,0,0.001311,0.001311,47,0,344,0.000123
11208,11208,,20,22,42,0.125,0.069764,4,6,10,2,0.647059,0.727273,33,0.013665,0.013665,71,0,343,0.00015
41662,41662,,7,6,13,0.5,0.02596,2,1,3,0,0,0,0,0.001311,0.001311,47,0,336,0.000123
20128,20128,,11,9,20,0.25,0.059364,4,2,6,1,1,1,2,0.059804,0.059804,47,0,335,0.000133
53794,53794,,8,5,13,0.25,0.069764,4,1,5,0,0,0,0,0.002746,0.002746,47,0,58,0.000164
33080,33080,,11,10,21,0.5,0.02596,2,1,3,0,0,0,0,0.001311,0.001311,47,0,333,0.000123
23935,23935,,25,19,44,0.142857,0.148113,7,1,8,0,0,0,0,0.008616,0.008616,47,0,332,0.0003
82165,82165,,2,2,4,0,0.009258,1,1,2,0,0,0,0,0,0,26,25,346,0.000112
8446,8446,,4,9,13,0.2,0.009258,1,5,6,2,0.75,0.833333,0,0.011303,0.011303,84,0,349,0.000112
11236,11236,,49,46,95,0.2,0.111753,5,2,7,1,1,1,6,0.016497,0.016497,84,0,180,0.000167
11757,11757,,7,2,9,0.2,0.053734,5,1,6,0,0,0,0,0.010459,0.010459,84,0,348,0.000153
42782,42782,,8,6,14,0.5,0.02596,2,1,3,0,0,0,0,0.001004,0.001004,84,0,347,0.000132
73987,73987,,8,8,16,0,0.009258,1,1,2,0,0,0,0,0,0,27,26,350,0.000112
16645,16645,,2,2,4,0,0.009258,1,1,2,0,0,0,0,0,0,28,27,351,0.000112
8457,8457,,0,12,12,0,0,0,10,10,3,0.528302,0.636905,0,0.025845,0.025845,79,0,361,0.000112
60096,60096,,15,18,33,0.2,0.059745,3,3,6,1,1,1,8,0.005126,0.005126,79,0,251,0.000153
20745,20745,,2,1,3,0.5,0.018516,2,1,3,0,0,0,0,0.002297,0.002297,79,0,360,0.000122
67757,67757,,5,3,8,0.5,0.018516,2,1,3,0,0,0,0,0.002297,0.002297,79,0,359,0.000122
62699,62699,,26,26,52,0.142857,0.104309,5,3,8,2,0.6,0.666667,45,0.058019,0.058019,79,0,220,0.000187
57757,57757,,27,34,61,0.142857,0.018516,2,6,8,2,0.727273,0.8125,8,0.012217,0.012217,41,0,358,0.000122
90801,90801,,13,12,25,0.5,0.018516,2,1,3,0,0,0,0,0.002297,0.002297,79,0,353,0.000122
107341,107341,,5,4,9,0.5,0.018516,2,1,3,0,0,0,0,0.002297,0.002297,79,0,352,0.000122
84478,84478,,30,27,57,0.25,0.054876,4,1,5,0,0,0,0,0.003061,0.003061,77,0,236,0.000189
82187,82187,,2,7,9,0.2,0.009258,1,5,6,1,1,1,0,0.00394,0.00394,58,0,365,0.000112
88876,88876,,6,3,9,0.333333,0.035218,3,1,4,0,0,0,0,0.002237,0.002237,58,0,364,0.000143
86191,86191,,24,16,40,0.166667,0.085324,6,1,7,0,0,0,0,0.016873,0.016873,58,0,363,0.000171
99256,99256,,2,1,3,0.5,0.02596,2,1,3,0,0,0,0,0.00035,0.00035,58,0,362,0.000132
268,268,,2,4,6,0.333333,0.009258,1,3,4,4,0.392405,0.438172,0,0.004265,0.004265,45,0,377,0.000112
80040,80040,,18,12,30,0.142857,0.197938,7,1,8,0,0,0,0,0.013741,0.013741,45,0,376,0.000283
9021,9021,,38,53,91,0.066667,0.042662,3,14,17,3,0.604167,0.706897,56.5,0.034254,0.034254,79,0,375,0.000152
267,267,,25,61,86,0.032258,0.009258,1,32,33,3,0.666667,0.767857,0,0.062152,0.062152,64,0,401,0.000112
24065,24065,,4,3,7,0.25,0.042662,3,2,5,1,1,1,2,0.006477,0.006477,45,0,400,0.00014
140811,140811,,7,6,13,0.5,0.02596,2,1,3,0,0,0,0,0.005523,0.005523,64,0,399,0.000115
325418,325418,,39,23,62,0.082418,0.415959,13,2,15,1,1,1,32,0.096404,0.096404,63,0,105,0.000299
4918,4918,,5,8,13,0.166667,0.02596,2,5,7,2,0.833333,0.9,5,0.007756,0.007756,11,0,398,0.000115
31580,31580,,12,10,22,0.333333,0.053062,3,1,4,0,0,0,0,0.005851,0.005851,77,0,396,0.000152
50018,50018,,6,5,11,0.5,0.02596,2,1,3,0,0,0,0,0.005523,0.005523,64,0,395,0.000115
39289,39289,,9,4,13,0.2,0.153915,6,1,7,0,0,0,0,0.060014,0.060014,11,0,124,0.000166
89211,89211,,29,16,45,0.109091,0.302016,11,1,12,0,0,0,0,0.031777,0.031777,47,0,109,0.000336
21886,21886,,8,12,20,0.142857,0.02596,2,6,8,2,0.857143,0.916667,6,0.029496,0.029496,58,0,394,0.000115
383,383,,13,15,28,0.2,0.02596,2,4,6,1,1,1,3,0.006851,0.006851,83,0,392,0.000115
2695,2695,,13,11,24,0.25,0.035218,3,2,5,3,0.5,0.611111,5,0.014147,0.014147,64,0,389,0.000118
99213,99213,,12,10,22,0.5,0.02596,2,1,3,0,0,0,0,0.005523,0.005523,64,0,388,0.000115
94122,94122,,1,0,1,0,0.009258,1,0,1,0,0,0,0,0.005523,0.005523,64,0,387,0.000115
58805,58805,,7,6,13,0.5,0.02596,2,1,3,0,0,0,0,0.005523,0.005523,64,0,386,0.000115
67258,67258,,6,8,14,0.25,0.042662,3,2,5,1,1,1,2,0.006203,0.006203,64,0,385,0.000135
95944,95944,,15,7,22,0.142857,0.12437,7,1,8,0,0,0,0,0.017321,0.017321,64,0,383,0.000176
29903,29903,,7,4,11,0.25,0.17328,4,1,5,0,0,0,0,0.016996,0.016996,77,0,102,0.000161
14299,14299,,4,1,5,0.333333,0.042662,3,1,4,0,0,0,0,0.00686,0.00686,77,0,382,0.000121
96225,96225,,6,1,7,0.2,0.124347,5,1,6,0,0,0,0,0.017396,0.017396,64,0,138,0.000152
99045,99045,,2,1,3,0.5,0.02596,2,1,3,0,0,0,0,0.005523,0.005523,64,0,381,0.000115
42749,42749,,16,17,33,0.25,0.02596,2,3,5,1,1,1,2,0.00665,0.00665,71,0,380,0.000115
70389,70389,,4,1,5,0.25,0.059364,4,1,5,0,0,0,0,0.009487,0.009487,64,0,378,0.000127
