,i,j,t
255,72,98,11
256,127,264,11
257,72,98,12
258,94,224,12
259,136,186,12
260,155,211,12
261,37,147,12
262,21,241,12
263,197,210,12
264,76,193,12
265,112,205,12
266,43,105,12
267,136,212,12
268,105,179,12
269,78,252,12
270,115,172,12
271,64,191,12
272,43,132,12
273,78,85,12
274,72,147,12
275,77,267,12
276,94,226,12
277,308,318,12
278,1,276,12
279,310,312,12
280,94,210,12
281,195,197,12
282,321,325,12
283,98,132,13
284,18,92,13
285,20,257,13
286,89,268,13
287,140,275,13
288,2,86,13
289,101,111,13
290,91,158,13
291,42,191,13
292,174,287,13
293,94,210,13
294,72,98,13
295,76,193,13
296,78,252,13
297,195,224,13
298,21,76,13
299,37,147,13
300,115,172,13
301,69,104,14
302,20,257,14
303,21,241,14
304,193,216,14
305,294,318,14
306,263,267,14
307,75,95,14
308,94,224,14
309,112,205,14
310,300,301,14
311,77,267,14
312,98,129,14
313,105,179,14
314,44,46,14
315,166,251,14
316,155,211,14
317,44,46,15
318,21,60,15
319,21,241,15
320,78,85,15
321,155,211,15
322,321,325,15
323,85,252,15
324,42,64,15
325,195,226,15
326,72,73,15
327,94,224,15
328,195,197,15
329,5,70,15
330,292,310,15
331,27,50,15
332,216,240,15
333,173,190,15
334,44,267,15
335,255,278,15
336,58,86,15
337,195,224,15
338,46,101,15
339,77,267,15
340,210,226,15
341,55,257,15
342,129,132,15
343,46,147,15
344,75,95,15
345,114,268,15
346,197,210,15
347,127,264,15
348,77,263,16
349,37,73,16
350,129,132,16
351,1,218,16
352,18,92,16
353,14,105,16
354,136,212,16
355,179,199,16
356,294,318,16
357,183,225,16
358,174,287,16
359,300,301,16
360,85,252,16
361,29,221,16
362,42,64,16
363,21,98,16
364,155,211,16
365,69,104,16
366,78,252,16
367,21,76,16
368,39,43,16
369,73,267,16
370,129,135,16
371,76,77,16
372,60,76,16
373,27,50,16
374,296,317,16
375,136,212,17
376,174,287,17
377,308,318,17
378,39,43,17
379,75,95,17
380,208,216,17
381,44,76,17
382,43,179,17
383,109,263,17
384,127,264,17
385,27,50,17
386,18,92,17
387,101,111,17
388,16,162,17
389,197,234,17
390,50,91,17
391,115,172,17
392,64,191,17
393,111,158,17
394,310,318,17
395,50,101,17
396,20,257,17
397,155,211,17
398,69,104,17
399,78,252,17
400,20,257,18
401,64,191,18
402,166,251,18
403,101,111,18
404,5,70,18
405,21,241,18
406,18,92,18
407,40,47,18
408,73,216,18
409,130,184,18
410,27,91,18
411,195,197,18
412,43,179,18
413,174,287,18
414,294,318,18
415,300,301,18
416,94,224,19
417,50,240,19
418,135,240,19
419,43,199,19
420,64,191,19
421,21,98,19
422,199,240,19
423,21,241,19
424,106,112,19
425,42,64,19
426,37,147,19
427,27,50,19
428,40,47,19
429,136,212,19
430,4,16,19
431,78,252,19
432,20,257,19
433,174,287,19
434,18,92,19
435,14,260,19
436,300,301,19
437,308,318,19
438,111,158,19
439,308,318,20
440,85,252,20
441,42,191,20
442,174,287,20
443,224,234,20
444,197,226,20
445,197,210,20
446,94,210,20
447,37,44,20
448,94,224,20
449,55,257,20
450,37,73,20
451,40,47,20
452,1,21,20
453,64,191,20
454,136,212,20
455,69,104,20
456,171,238,20
457,94,234,20
458,155,211,20
459,14,43,20
460,20,257,20
461,16,76,20
462,18,92,20
463,14,105,20
464,94,226,20
465,94,210,21
466,43,105,21
467,16,46,21
468,43,260,21
469,1,179,21
470,136,212,21
471,78,252,21
472,208,216,21
473,174,287,21
474,166,251,21
475,27,72,21
476,130,184,21
477,109,241,21
478,43,241,21
479,64,191,21
480,300,301,21
481,42,191,21
482,37,216,21
483,69,104,21
484,42,64,21
485,77,179,22
486,43,72,22
487,308,318,22
488,69,104,22
489,18,92,22
490,166,251,22
491,114,268,22
492,174,287,22
493,142,155,22
494,42,64,22
495,27,158,22
496,136,212,22
497,300,301,22
498,55,257,22
499,43,129,22
500,39,43,22
501,1,179,22
502,127,264,22
503,20,55,22
504,2,264,22
505,111,267,22
506,34,171,22
507,225,259,22
508,5,70,22
509,210,226,23
510,25,66,23
511,40,47,23
512,94,210,23
513,225,259,23
514,72,129,23
515,321,325,23
516,94,226,23
517,166,251,23
518,163,213,23
519,213,257,23
520,64,191,23
521,42,191,23
522,14,105,23
523,198,202,23
524,91,135,23
525,69,104,23
526,300,301,23
527,94,197,23
528,20,257,23
529,224,234,23
530,1,77,23
531,186,212,23
532,136,212,23
533,109,241,23
534,69,104,24
535,290,304,24
536,15,257,24
537,321,325,24
538,39,72,24
539,294,318,24
540,42,64,24
541,37,147,24
542,6,80,24
543,260,267,24
544,75,145,24
545,225,259,24
546,308,318,24
547,64,191,24
548,112,205,24
549,155,211,24
550,174,287,24
551,300,301,24
552,300,301,25
553,64,191,25
554,5,70,25
555,142,155,25
556,308,318,25
557,76,162,25
558,290,304,25
559,43,241,25
560,78,252,25
561,186,212,25
562,155,211,25
563,14,105,25
564,127,264,25
565,89,268,25
566,255,278,25
567,321,325,25
568,136,212,25
569,75,95,25
570,46,101,25
571,85,252,25
572,40,47,25
573,155,211,26
574,69,104,26
575,60,240,26
576,114,133,26
577,37,147,26
578,43,199,26
579,196,197,26
580,75,145,26
581,43,66,26
582,174,287,26
583,83,213,26
584,76,162,26
585,46,101,26
586,199,241,26
587,130,184,26
588,42,191,26
589,210,220,26
590,85,252,26
591,14,105,26
592,15,20,26
593,109,267,26
594,20,202,26
595,94,234,26
596,95,220,26
597,114,268,26
598,290,304,26
599,321,325,26
600,94,220,26
601,241,260,26
602,43,241,26
603,64,191,26
604,20,257,26
605,294,318,27
606,308,318,27
607,15,20,27
608,46,101,27
609,55,234,27
610,64,191,27
611,89,268,27
612,210,213,27
613,42,64,27
614,213,220,27
615,29,221,27
616,112,205,27
617,39,111,27
618,94,220,27
619,25,66,27
620,39,260,27
621,72,132,27
622,145,213,27
623,69,104,27
624,94,224,27
625,78,85,27
626,305,325,27
627,47,174,28
628,55,94,28
629,308,318,28
630,42,64,28
631,43,132,28
632,85,252,28
633,109,241,28
634,78,252,28
635,75,145,28
636,292,310,28
637,20,213,28
638,43,72,28
639,89,268,28
640,155,211,28
641,5,70,28
642,321,325,28
643,142,155,28
644,43,241,28
645,213,257,28
646,142,211,28
647,69,104,28
648,18,92,28
649,29,221,28
650,114,185,28
651,112,205,28
652,130,184,28
653,46,101,28
654,34,95,28
655,305,325,28
656,114,133,28
657,225,259,29
658,76,120,29
659,95,225,29
660,78,252,29
661,37,147,29
662,109,260,29
663,42,191,29
664,308,318,29
665,255,278,29
666,174,287,29
667,210,225,29
668,114,133,29
669,155,211,29
670,83,220,29
671,15,198,29
672,42,64,29
673,39,210,29
674,43,132,29
675,239,268,29
676,321,325,29
677,80,160,29
678,7,280,29
679,20,198,29
680,114,268,29
681,210,259,29
682,109,241,30
683,39,75,30
684,43,72,30
685,290,304,30
686,4,94,30
687,15,39,30
688,94,210,30
689,72,132,30
690,15,202,30
691,89,110,30
692,78,252,30
693,140,275,30
694,37,147,30
695,294,318,30
696,5,70,30
697,80,93,30
698,225,259,30
699,53,264,30
700,127,264,30
701,18,92,30
702,114,133,30
703,42,64,30
704,112,205,30
705,142,155,30
706,227,280,30
707,174,287,30
708,43,72,31
709,20,225,31
710,93,160,31
711,166,227,31
712,85,252,31
713,174,287,31
714,4,202,31
715,43,60,31
716,133,152,31
717,69,104,31
718,225,259,31
719,43,132,31
720,4,94,31
721,5,70,31
722,141,268,31
723,241,260,31
724,55,84,31
725,47,174,31
726,127,264,31
727,321,325,31
728,290,304,31
729,136,145,31
730,78,252,31
731,15,198,31
732,42,64,31
733,7,185,31
734,308,318,31
735,94,224,31
736,39,95,32
737,43,72,32
738,29,221,32
739,302,314,32
740,112,205,32
741,75,145,32
742,85,252,32
743,5,70,32
744,94,224,32
745,174,287,32
746,166,227,32
747,46,101,32
748,300,301,32
749,255,278,32
750,42,191,32
751,305,317,32
752,83,220,32
753,43,132,32
754,10,124,33
755,13,210,33
756,112,205,33
757,109,267,33
758,109,241,33
759,321,325,33
760,5,70,33
761,16,178,33
762,155,211,33
763,140,275,33
764,20,257,33
765,302,309,33
766,42,64,33
767,20,202,33
768,302,305,33
769,308,318,33
770,120,193,33
771,2,86,33
772,39,226,33
773,300,301,33
774,292,310,33
775,198,202,33
776,60,241,33
777,43,72,33
778,174,287,33
779,255,278,33
780,60,267,33
781,86,264,34
782,138,202,34
783,9,61,34
784,95,145,34
785,69,104,34
786,163,187,34
787,120,193,34
788,64,191,34
789,43,72,34
790,311,318,34
791,302,317,34
792,16,178,34
793,317,322,34
794,20,257,34
795,109,241,34
796,83,202,34
797,2,58,34
798,5,70,34
799,42,64,34
800,310,312,34
801,127,264,34
802,306,315,34
803,308,310,34
804,109,267,34
805,212,226,34
806,60,241,34
807,15,202,34
808,37,147,34
809,301,317,34
810,198,202,34
811,255,278,34
812,310,318,34
813,85,252,34
814,18,92,34
815,16,76,35
816,303,313,35
817,60,109,35
818,43,72,35
819,109,241,35
820,321,325,35
821,18,92,35
822,16,193,35
823,46,101,35
824,112,205,35
825,124,143,35
826,255,278,35
827,121,203,35
828,155,211,35
829,110,115,35
830,64,191,35
831,78,252,35
832,42,191,35
833,290,321,35
834,43,132,35
835,296,321,35
836,202,301,35
837,255,278,36
838,69,104,36
839,18,92,36
840,317,323,36
841,134,170,36
842,292,308,36
843,37,147,36
844,164,203,36
845,38,284,36
846,10,264,36
847,23,203,36
848,60,109,36
849,16,193,36
850,295,304,36
851,86,124,36
852,110,115,36
853,72,132,36
854,134,264,36
855,120,193,36
856,83,138,36
857,292,317,37
858,18,92,37
859,39,317,37
860,255,278,37
861,94,224,37
862,202,310,37
863,58,134,37
864,16,193,37
865,16,76,37
866,23,86,37
867,5,70,37
868,10,264,37
869,308,318,37
870,2,235,37
871,291,308,37
872,130,184,37
873,138,305,38
874,16,76,38
875,39,317,38
876,16,193,38
877,140,275,38
878,78,252,38
879,302,313,38
880,295,323,38
881,23,58,38
882,112,273,38
883,5,70,38
884,112,243,38
885,118,134,38
886,317,323,38
887,143,265,38
888,255,278,38
889,79,308,38
890,155,211,38
891,46,101,38
892,10,86,38
893,60,109,38
894,60,267,38
895,39,317,39
896,202,300,39
897,114,234,39
898,295,323,39
899,16,193,39
900,25,66,39
901,134,192,39
902,174,287,39
903,295,317,39
904,155,211,39
905,3,244,39
906,124,134,39
907,43,132,39
908,10,86,39
909,125,206,39
910,38,284,39
911,124,192,39
912,138,305,40
913,106,205,40
914,2,143,40
915,25,66,40
916,69,104,40
917,174,287,40
918,128,258,40
919,39,317,40
920,310,312,40
921,72,132,40
922,16,76,40
923,317,323,40
924,295,317,40
925,5,70,40
926,202,234,40
927,53,143,40
928,13,210,40
929,255,278,40
930,10,86,40
931,10,53,40
932,295,317,41
933,100,137,41
934,120,193,41
935,174,287,41
936,46,260,41
937,124,192,41
938,10,86,41
939,126,236,41
940,70,273,41
941,72,132,41
942,134,149,41
943,43,132,41
944,43,72,41
945,2,143,41
946,255,278,41
947,42,64,41
948,69,104,41
949,124,149,41
950,310,312,41
951,5,273,41
952,125,206,41
953,295,323,41
954,79,315,42
955,39,317,42
956,106,137,42
957,16,193,42
958,29,221,42
959,126,236,42
960,109,276,42
961,5,70,42
962,67,236,42
963,10,53,42
964,108,273,42
965,85,106,42
966,114,234,42
967,243,273,42
968,17,184,42
969,46,260,42
970,82,104,42
971,174,287,42
972,69,104,42
973,16,76,42
974,87,153,42
975,43,132,42
976,103,107,42
977,295,323,42
978,3,177,42
979,124,149,42
980,53,143,42
981,60,276,42
982,149,192,42
983,46,264,42
984,212,226,42
985,43,132,43
986,106,273,43
987,29,279,43
988,124,134,43
989,92,123,43
990,295,323,43
991,94,224,43
992,5,70,43
993,202,284,43
994,39,115,43
995,134,192,43
996,39,317,43
997,115,317,43
998,43,72,43
999,46,127,43
1000,115,323,43
1001,310,312,43
1002,140,275,43
1003,34,116,43
1004,221,287,43
1005,115,295,43
1006,79,246,43
1007,149,192,43
1008,124,192,43
1009,112,243,43
1010,246,280,43
1011,16,120,43
1012,13,210,43
1013,155,217,43
1014,32,100,43
1015,120,193,43
1016,212,226,43
1017,295,317,43
1018,155,255,43
1019,114,234,43
1020,100,106,43
1021,17,184,44
1022,69,232,44
1023,94,224,44
1024,43,72,44
1025,140,232,44
1026,134,149,44
1027,43,276,44
1028,10,86,44
1029,104,232,44
1030,120,193,44
1031,140,273,44
1032,52,155,44
1033,101,264,44
1034,10,53,44
1035,53,143,44
1036,70,104,44
1037,116,178,44
1038,310,312,44
1039,155,287,44
1040,43,132,44
1041,103,107,44
1042,106,243,44
1043,53,130,44
1044,127,264,44
1045,149,192,44
1046,16,76,44
1047,79,284,44
1048,46,127,44
1049,72,132,44
1050,108,131,44
1051,104,205,45
1052,134,192,45
1053,110,115,45
1054,79,246,45
1055,310,312,45
1056,39,169,45
1057,10,53,45
1058,104,243,45
1059,202,234,45
1060,94,224,45
1061,16,193,45
1062,212,226,45
1063,134,149,45
1064,53,130,45
1065,202,320,45
1066,155,255,45
1067,114,320,45
1068,69,82,45
1069,295,317,45
1070,116,315,45
1071,155,217,45
1072,29,287,45
1073,5,70,45
1074,126,236,45
1075,42,85,45
1076,246,280,45
1077,278,279,45
1078,116,280,45
1079,9,63,45
1080,100,104,46
1081,104,205,46
1082,168,223,46
1083,29,217,46
1084,53,130,46
1085,124,149,46
1086,120,193,46
1087,116,280,46
1088,9,229,46
1089,230,256,46
1090,140,232,46
1091,2,130,46
1092,5,273,46
1093,10,53,46
1094,126,236,46
1095,310,312,46
1096,9,184,46
1097,29,155,46
1098,100,112,46
1099,16,76,46
1100,16,193,46
1101,212,226,46
1102,5,70,46
1103,87,153,46
1104,10,86,46
1105,108,205,46
1106,94,224,46
1107,16,221,46
1108,17,184,46
1109,70,273,46
1110,168,223,47
1111,124,154,47
1112,165,254,47
1113,72,132,47
1114,157,320,47
1115,25,66,47
1116,16,221,47
1117,29,255,47
1118,310,312,47
1119,16,193,47
1120,4,22,47
1121,34,178,47
1122,43,72,47
1123,127,264,47
1124,124,149,47
1125,204,205,47
1126,53,130,47
1127,52,217,47
1128,17,107,47
1129,85,128,47
1130,134,149,47
1131,9,63,47
1132,149,192,47
1133,53,86,47
1134,10,86,47
1135,116,315,47
1136,94,224,47
1137,116,315,48
1138,278,279,48
1139,168,223,48
1140,252,275,48
1141,116,246,48
1142,23,58,48
1143,134,184,48
1144,13,197,48
1145,53,130,48
1146,157,320,48
1147,11,87,48
1148,16,221,48
1149,79,178,48
1150,43,132,48
1151,69,108,48
1152,124,154,48
1153,25,66,48
1154,11,153,48
1155,124,149,48
1156,17,107,48
1157,246,280,49
1158,25,66,49
1159,16,221,49
1160,49,252,49
1161,120,193,49
1162,100,104,49
1163,134,149,49
1164,49,131,49
1165,102,191,49
1166,165,254,49
1167,119,123,49
1168,53,174,49
1169,39,174,49
1170,149,192,49
1171,23,58,49
1172,11,153,49
1173,76,120,49
1174,310,312,49
1175,116,315,49
1176,134,184,49
1177,124,134,49
1178,10,53,49
1179,124,154,50
1180,22,131,50
1181,102,191,50
1182,43,132,50
1183,124,192,50
1184,25,66,50
1185,138,220,50
1186,10,53,50
1187,120,193,50
1188,85,258,50
1189,79,116,50
1190,34,79,50
1191,134,149,50
1192,142,211,50
1193,123,282,50
1194,128,264,50
1195,43,72,50
1196,65,142,50
1197,149,154,50
1198,52,217,50
1199,321,325,50
1200,9,229,50
1201,222,254,50
1202,155,204,50
1203,168,223,51
1204,53,143,51
1205,138,220,51
1206,97,123,51
1207,246,280,51
1208,22,131,51
1209,164,264,51
1210,127,264,51
1211,295,323,51
1212,72,132,51
1213,79,178,51
1214,43,132,51
1215,76,162,51
1216,120,162,51
1217,23,58,51
1218,53,130,51
1219,9,229,51
1220,79,116,51
1221,64,102,51
1222,48,119,52
1223,53,130,52
1224,321,325,52
1225,134,154,52
1226,10,86,52
1227,79,116,52
1228,130,143,52
1229,138,220,52
1230,65,142,52
1231,107,127,52
1232,120,162,52
1233,23,58,52
1234,53,143,52
1235,127,264,53
1236,53,143,53
1237,11,87,53
1238,118,321,53
1239,103,264,53
1240,310,312,53
1241,246,280,53
1242,124,134,53
1243,168,223,53
1244,202,300,53
1245,130,184,53
1246,55,138,53
1247,52,217,53
1248,174,199,54
1249,94,224,54
1250,202,284,54
1251,202,300,54
1252,23,164,54
1253,11,87,54
1254,79,116,54
1255,317,323,54
1256,58,164,54
1257,168,223,54
1258,58,118,54
1259,130,184,54
1260,10,86,54
1261,39,276,54
1262,43,72,54
1263,39,66,54
1264,155,204,54
1265,38,202,54
1266,124,154,54
1267,53,184,54
1268,34,116,54
1269,295,323,54
1270,121,203,54
1271,127,264,54
1272,23,58,54
1273,130,184,55
1274,1,213,55
1275,213,291,55
1276,42,67,55
1277,174,199,55
1278,124,154,55
1279,246,280,55
1280,118,235,55
1281,79,116,55
1282,202,300,55
1283,94,224,55
1284,317,323,55
1285,295,317,55
1286,34,116,55
1287,38,202,55
1288,138,220,55
1289,127,264,55
1290,118,130,56
1291,292,319,56
1292,121,203,56
1293,9,264,56
1294,34,116,56
1295,154,264,56
1296,43,132,56
1297,1,291,56
1298,50,109,56
1299,79,116,56
1300,124,149,56
1301,106,126,56
1302,18,123,56
1303,138,220,56
1304,127,264,56
1305,66,174,56
1306,53,118,57
1307,79,178,57
1308,38,202,57
1309,10,58,57
1310,9,192,57
1311,23,134,57
1312,118,130,57
1313,50,276,57
1314,295,317,57
1315,58,164,57
1316,34,116,57
1317,50,61,57
1318,43,72,57
1319,118,164,57
1320,53,143,57
1321,43,132,57
1322,18,123,57
1323,134,149,57
1324,10,86,57
1325,1,179,57
1326,121,229,57
1327,112,128,57
1328,138,220,57
1329,10,192,57
1330,168,223,57
1331,94,224,57
1332,114,320,58
1333,2,235,58
1334,50,61,58
1335,53,58,58
1336,86,264,58
1337,1,179,58
1338,66,174,58
1339,118,235,58
1340,70,81,58
1341,94,224,58
1342,170,229,58
1343,53,124,58
1344,45,116,58
1345,9,229,58
1346,107,264,58
1347,16,221,58
1348,79,178,58
1349,126,236,58
1350,202,300,58
1351,34,45,58
1352,130,164,58
1353,168,283,58
1354,103,184,58
1355,9,61,58
1356,174,199,58
1357,310,312,58
1358,9,107,58
1359,127,264,59
1360,34,45,59
1361,58,192,59
1362,118,235,59
1363,58,86,59
1364,130,184,59
1365,295,317,59
1366,72,132,59
1367,34,116,59
1368,121,203,59
1369,174,199,59
1370,79,116,59
1371,118,154,59
1372,116,178,59
1373,125,237,59
1374,10,124,59
1375,16,221,59
1376,310,312,59
1377,246,280,59
1378,94,224,60
1379,41,81,60
1380,184,264,60
1381,1,179,60
1382,10,124,60
1383,118,154,60
1384,41,70,60
1385,34,45,60
1386,79,178,60
1387,174,199,60
1388,43,72,60
1389,9,170,60
1390,246,280,60
1391,34,116,60
1392,23,164,60
1393,60,267,61
1394,246,315,61
1395,246,280,61
1396,72,132,61
1397,23,164,61
1398,120,221,61
1399,120,193,61
1400,34,116,61
1401,280,315,61
1402,295,321,61
1403,10,124,61
1404,43,132,61
1405,79,116,61
1406,58,86,61
1407,18,123,61
1408,34,45,61
1409,50,61,62
1410,79,116,62
1411,10,124,62
1412,23,164,62
1413,58,86,62
1414,246,315,62
1415,246,280,62
1416,127,264,62
1417,60,267,62
1418,162,193,62
1419,120,193,62
1420,79,178,62
1421,43,132,62
1422,43,72,62
1423,94,224,62
1424,187,213,63
1425,246,315,63
1426,23,164,63
1427,79,178,63
1428,121,203,63
1429,126,273,63
1430,66,72,63
1431,202,300,63
1432,70,106,63
1433,280,315,63
1434,10,124,63
1435,34,116,63
1436,174,199,63
1437,43,72,63
1438,295,317,63
1439,280,315,64
1440,10,124,64
1441,174,199,64
1442,34,116,64
1443,79,178,64
1444,9,170,64
1445,16,221,64
1446,43,132,64
1447,321,325,64
1448,127,264,64
1449,23,164,64
1450,1,72,64
1451,1,72,65
1452,317,323,65
1453,50,61,65
1454,174,199,65
1455,30,221,65
1456,43,132,65
1457,295,317,65
1458,58,86,65
1459,23,164,65
1460,295,323,65
1461,48,305,65
1462,16,221,65
1463,120,221,65
1464,132,260,65
1465,94,224,65
1466,1,179,65
1467,72,179,66
1468,213,214,66
1469,48,305,66
1470,34,116,66
1471,260,267,66
1472,34,79,66
1473,58,86,66
1474,79,178,66
1475,295,317,66
1476,34,178,66
1477,16,221,66
1478,174,199,66
1479,65,142,66
1480,1,179,66
1481,295,317,67
1482,30,221,67
1483,16,221,67
1484,94,224,67
1485,43,132,67
1486,121,203,67
1487,295,323,67
1488,79,116,67
1489,94,187,67
1490,295,323,68
1491,317,323,68
1492,121,203,68
1493,65,211,68
1494,10,124,68
1495,30,221,68
1496,16,221,68
1497,213,214,68
1498,94,187,68
1499,153,315,68
1500,295,317,68
1501,127,264,68
1502,79,178,68
1503,58,86,68
1504,43,132,69
1505,141,187,69
1506,30,221,69
1507,23,164,69
1508,280,315,69
1509,79,116,69
1510,60,267,69
1511,45,116,69
1512,295,317,69
1513,65,211,69
1514,10,124,69
1515,94,214,69
1516,84,94,70
1517,295,310,70
1518,30,221,70
1519,87,153,70
1520,148,211,70
1521,121,203,70
1522,65,211,70
1523,45,79,70
1524,120,162,70
1525,317,323,70
1526,317,323,71
1527,16,221,71
1528,34,45,71
1529,23,164,71
1530,280,315,71
1531,16,30,72
1532,65,211,72
1533,23,164,72
1534,121,203,72
1535,45,79,72
1536,295,323,72
1537,79,116,72
1538,295,317,72
1539,10,124,72
1540,55,213,72
1541,16,221,72
1542,120,162,72
1543,79,178,72
1544,65,211,73
1545,60,267,73
1546,43,132,73
1547,55,310,73
1548,23,164,73
1549,50,61,73
1550,174,199,73
1551,221,315,73
1552,149,154,73
1553,143,229,73
1554,30,221,73
1555,120,193,73
1556,34,45,73
1557,280,315,74
1558,174,199,74
1559,79,178,74
1560,121,203,74
1561,10,124,74
1562,34,45,74
1563,23,164,74
1564,34,79,74
1565,317,323,74
1566,60,267,74
1567,79,116,74
1568,16,221,74
1569,43,132,74
1570,295,323,74
1571,55,312,75
1572,1,179,75
1573,317,323,75
1574,174,199,75
1575,10,124,75
1576,60,267,75
1577,4,175,75
1578,120,162,75
1579,318,321,75
1580,79,116,75
1581,34,79,75
1582,23,164,75
1583,295,317,75
1584,34,178,75
1585,50,61,76
1586,94,214,76
1587,317,323,76
1588,34,45,76
1589,50,109,76
1590,60,267,76
1591,84,214,76
1592,43,132,76
1593,174,199,76
1594,1,179,76
1595,84,214,77
1596,34,116,77
1597,10,124,77
1598,295,317,77
1599,39,174,77
1600,23,164,77
1601,34,79,77
1602,199,240,77
1603,60,267,78
1604,121,203,78
1605,10,124,78
1606,120,162,78
1607,34,79,78
1608,4,175,78
1609,295,317,78
1610,65,211,78
1611,23,164,78
1612,55,312,78
1613,79,116,78
1614,39,260,79
1615,43,132,79
1616,79,116,79
1617,120,193,79
1618,34,116,79
1619,45,116,79
1620,65,211,79
1621,120,193,80
1622,246,280,80
1623,10,124,80
1624,34,116,80
1625,45,116,80
1626,55,312,80
1627,120,162,80
1628,295,323,80
1629,4,175,80
1630,79,116,80
1631,84,214,80
1632,280,315,80
1633,121,203,80
1634,65,211,80
1635,23,164,80
1636,58,86,80
1637,65,148,81
1638,1,179,81
1639,43,132,81
1640,107,192,81
1641,4,175,81
1642,65,211,81
1643,123,281,81
1644,2,264,81
1645,1,72,81
1646,79,116,81
1647,127,264,81
1648,121,203,81
1649,50,61,81
1650,79,178,81
1651,295,323,81
1652,34,79,82
1653,121,203,82
1654,65,182,82
1655,79,116,82
1656,25,66,82
1657,23,164,82
1658,310,312,82
1659,34,116,82
1660,50,61,82
1661,182,211,82
1662,120,162,82
1663,120,193,82
1664,295,317,82
